/dynamixel_param/header/stamp/secs,/dynamixel_param/header/stamp/nsecs,/dynamixel_param/header/frame_id,/dynamixel_param/header/seq,/dynamixel_param/interval,/dynamixel_param/trg_pos,/dynamixel_param/fps,/dynamixel_param/surface_pos,/fingervision/fv_filter1_objinfo/d_obj_area,/fingervision/fv_filter1_objinfo/d_obj_center_filtered,/fingervision/fv_filter1_objinfo/fv,/fingervision/fv_filter1_objinfo/obj_area,/fingervision/fv_filter1_objinfo/obj_s,/fingervision/fv_filter1_objinfo/d_obj_orientation_filtered,/fingervision/fv_filter1_objinfo/obj_center,/fingervision/fv_filter1_objinfo/obj_orientation,/fingervision/fv_filter1_objinfo/header/stamp/secs,/fingervision/fv_filter1_objinfo/header/stamp/nsecs,/fingervision/fv_filter1_objinfo/header/frame_id,/fingervision/fv_filter1_objinfo/header/seq,/fingervision/fv_filter1_objinfo/mv_s,/fingervision/fv_filter1_objinfo/obj_area_filtered,/fingervision/fv_filter1_objinfo/d_obj_orientation,/fingervision/fv_filter1_objinfo/d_obj_center,/fingervision/fv_filter1_objinfo/d_obj_area_filtered,/dynamixel_data/header/stamp/secs,/dynamixel_data/header/stamp/nsecs,/dynamixel_data/header/frame_id,/dynamixel_data/header/seq,/dynamixel_data/Vel,/dynamixel_data/Pwm,/dynamixel_data/Pos,/dynamixel_data/Cur
1610902754,465307950,,9400,16.01,"[2029, 194, 3883, 282]",40.18841385125424,0,0.000979533400314799,"[0.09524473905721967, 0.014312230056016765]",rh_l,0.00984375,"[0.0, 0.0, 0.0, 1.527030508441385e-05, 0.0002557457482907921, 1.7103662685258314e-05, 0.0, 0.0, 0.0]",-0.13297856207642178,"[0.006160241874527576, -0.012892101284958407]",0.05163329059390231,1610902754,437907930,rh_l,7039,"[0.0, 0.0, 0.0, 0.0, 1.950053956534248e-05, 0.0, 0.0, 0.0, 0.0]",0.010463541666666666,-0.6428423143696617,"[-0.3485744634424308, -0.02633276456983037]",0.015555093050097894,1610902754,463994026,,3389,"[0, 0, 0, 0]","[-67, 52, 66, -54]","[2029, 195, 3883, 282]","[-35, 22, 30, -26]"
1610902754,489622116,,9401,16.020000000000003,"[2029, 194, 3883, 282]",41.5573874445149,0,-0.03904767894166772,"[-0.03668382044480923, -0.050061431735689575]",rh_l,0.011184895833333333,"[0.0, 0.0, 0.0, 2.2318137780530378e-05, 0.00029630688368342817, 9.272736861021258e-06, 0.0, 0.0, 0.0]",-0.15980841166545268,"[-0.0012971894229170493, -0.01174122734076169]",0.05860049520851231,1610902754,472254295,rh_l,7040,"[0.0, 0.0, 0.0, 1.950053956534248e-05, 7.830926188034937e-05, 0.0, 0.0, 0.0, 0.0]",0.010658854166666665,-0.20285129487822337,"[0.2171243244356317, -0.03350788196063011]",-0.0074358703237713385,1610902754,486819028,,3390,"[0, 0, 0, 0]","[-67, 52, 66, -54]","[2029, 195, 3883, 282]","[-35, 22, 30, -26]"
1610902754,514219045,,9402,16.030000000000005,"[2029, 194, 3883, 282]",41.235439852137326,0,-0.016023961087007325,"[0.028207755430365224, 0.012671812351095163]",rh_l,0.011614583333333333,"[0.0, 0.0, 0.0, 1.6444942957605235e-05, 0.0003126520023215562, 1.1827768503280822e-05, 0.0, 0.0, 0.0]",0.04745671161025371,"[0.01798126201153108, -0.013733183856502252]",0.030696868110982482,1610902754,499069606,rh_l,7041,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.010661458333333332,1.0405856228007169,"[-0.7189344712223598, 0.07428429659982547]",-0.001028563093993779,1610902754,511779069,,3391,"[0, 0, 0, 0]","[-67, 52, 66, -54]","[2029, 195, 3883, 282]","[-35, 22, 30, -26]"
1610902754,538229942,,9403,16.040000000000006,"[2029, 194, 3883, 282]",42.40139912453623,0,0.029499855845774525,"[0.07542139179687697, 0.02695149630080801]",rh_l,0.010611979166666667,"[0.0, 0.0, 0.0, 2.545050847402308e-05, 0.00027741590747609735, 1.0158706572838128e-05, 0.0, 0.0, 0.0]",0.05306302121767793,"[-0.012291849255039417, -0.016345311130587195]",0.046751180714419284,1610902754,533056354,rh_l,7042,"[0.0, 0.0, 0.0, 3.900107913068496e-05, 0.0, 0.0, 0.0, 0.0, 0.0]",0.010627604166666667,-0.4723697778745029,"[0.8907328016958403, 0.07685722900246128]",-0.0003510590780073791,1610902754,536608934,,3392,"[0, 0, 0, 0]","[-67, 52, 66, -54]","[2029, 195, 3883, 282]","[-35, 22, 30, -26]"
1610902754,561199903,,9404,16.050000000000008,"[2030, 194, 3882, 282]",43.91343586736884,0,0.029499855845774525,"[0.07542139179687697, 0.02695149630080801]",rh_l,0.010611979166666667,"[0.0, 0.0, 0.0, 2.545050847402308e-05, 0.00027741590747609735, 1.0158706572838128e-05, 0.0, 0.0, 0.0]",0.05306302121767793,"[-0.012291849255039417, -0.016345311130587195]",0.046751180714419284,1610902754,533056354,rh_l,7042,"[0.0, 0.0, 0.0, 3.900107913068496e-05, 0.0, 0.0, 0.0, 0.0, 0.0]",0.010627604166666667,-0.4723697778745029,"[0.8907328016958403, 0.07685722900246128]",-0.0003510590780073791,1610902754,559668064,,3393,"[0, 0, 0, 0]","[-67, 52, 66, -54]","[2029, 195, 3883, 282]","[-35, 22, 30, -26]"
1610902754,587277889,,9405,16.06000000000001,"[2030, 194, 3882, 282]",40.30000864744372,0,0.019253362075729516,"[-0.04837390975750235, 0.00374137694992602]",rh_l,0.009856770833333334,"[0.0, 0.0, 0.0, 1.801112921384629e-05, 0.00026114293723367155, 1.0591711543384008e-05, 0.0, 0.0, 0.0]",-0.00741346944014693,"[-0.0012219286657860096, -0.013497829779203637]",0.037321141965044505,1610902754,572281105,rh_l,7043,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.010622395833333333,0.24041041712093644,"[-0.2822177402541932, -0.07259399432219617]",-0.0010677777413712398,1610902754,582834959,,3394,"[0, 0, 0, 0]","[-64, 52, 62, -54]","[2029, 195, 3883, 282]","[-34, 22, 30, -26]"
1610902754,615143060,,9406,16.07000000000001,"[2030, 194, 3882, 282]",38.071890204051996,0,-0.04689626421659572,"[-0.01456527349486485, -0.002346080067643816]",rh_l,0.011119791666666667,"[0.0, 0.0, 0.0, 1.2921027519041672e-05, 0.0003070275706704706, 7.0677947405783925e-06, 0.0, 0.0, 0.0]",0.11824069004572273,"[0.0036132485781198145, -0.01196888591502174]",0.037713585367015315,1610902754,599213332,rh_l,7044,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.010877604166666666,-0.014571516940313388,"[-0.1795312821292433, -0.05677004965767954]",-0.010642937264753344,1610902754,609708070,,3395,"[0, 0, 0, 0]","[-64, 52, 62, -54]","[2029, 195, 3883, 282]","[-33, 22, 29, -26]"
1610902754,638206005,,9407,16.080000000000013,"[2030, 194, 3882, 282]",45.84239403676744,0,-0.02655249603180913,"[-0.15443818995407588, 0.019962650975051618]",rh_l,0.011953125,"[0.0, 0.0, 0.0, 2.1143499907338992e-05, 0.00030736843473277986, 2.2172267563291825e-05, 0.0, 0.0, 0.0]",0.128282091960845,"[0.018748054777466498, -0.014417989417989422]",0.04250422994269385,1610902754,630597701,rh_l,7045,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.01103125,-0.15264428530261226,"[-0.48224025786042346, 0.07803577325284705]",-0.008143900682781627,1610902754,636660099,,3396,"[0, 0, 0, 0]","[-64, 52, 62, -54]","[2029, 195, 3883, 282]","[-33, 22, 29, -26]"
1610902754,661206960,,9408,16.090000000000014,"[2030, 194, 3882, 282]",43.79239274564875,0,-0.02655249603180913,"[-0.15443818995407588, 0.019962650975051618]",rh_l,0.011953125,"[0.0, 0.0, 0.0, 2.1143499907338992e-05, 0.00030736843473277986, 2.2172267563291825e-05, 0.0, 0.0, 0.0]",0.128282091960845,"[0.018748054777466498, -0.014417989417989422]",0.04250422994269385,1610902754,630597701,rh_l,7045,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.01103125,-0.15264428530261226,"[-0.48224025786042346, 0.07803577325284705]",-0.008143900682781627,1610902754,659670114,,3397,"[0, 0, 0, 0]","[-64, 52, 62, -54]","[2029, 195, 3883, 282]","[-33, 22, 29, -26]"
1610902754,687796115,,9409,16.100000000000016,"[2030, 194, 3882, 282]",37.968153961744925,0,0.022150651921370758,"[0.06026081128047903, 0.005855622723291063]",rh_l,0.011158854166666666,"[0.0, 0.0, 0.0, 2.3101230908650905e-05, 0.00028796770493499935, 1.566031642141752e-05, 0.0, 0.0, 0.0]",-0.04454708404076943,"[0.006034339056509452, -0.014552425404234017]",0.03617751134143103,1610902754,666455374,rh_l,7046,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.010940104166666667,0.176439742792645,"[0.3545605349504148, 0.0037491553410226907]",-0.0005089780811060104,1610902754,684067010,,3398,"[0, 0, 0, 0]","[-64, 52, 62, -54]","[2029, 195, 3883, 282]","[-33, 22, 29, -26]"
1610902754,715409994,,9410,16.110000000000017,"[2030, 194, 3882, 282]",36.7889132532234,0,0.04447322126003945,"[0.07783869218560187, -0.0035119540002381813]",rh_l,0.0097265625,"[0.0, 0.0, 0.0, 2.5842055038083345e-05, 0.0002454703499097377, 1.5929024812066928e-05, 0.0, 0.0, 0.0]",0.1103735042803153,"[-0.025482883916618907, -0.01551921973608721]",0.026443877717930508,1610902754,698661084,rh_l,7047,"[0.0, 0.0, 0.0, 1.950053956534248e-05, 0.0, 0.0, 0.0, 0.0, 0.0]",0.010763020833333333,0.3022331637309207,"[0.9786222062214546, 0.030019345384815068]",0.0024856950017469737,1610902754,708609104,,3399,"[0, 0, 0, 0]","[-64, 52, 62, -54]","[2029, 195, 3882, 282]","[-33, 22, 29, -26]"
1610902754,737205028,,9411,16.12000000000002,"[2030, 194, 3882, 282]",46.50520013305245,0,-0.012082143079680228,"[0.044636376411500325, 0.01161459485347209]",rh_l,0.01015625,"[0.0, 0.0, 0.0, 2.7408239475334994e-05, 0.0002683397033251822, 5.615234385913936e-06, 0.0, 0.0, 0.0]",-0.005110718875784559,"[-0.009542124542124546, -0.015627289377289393]",0.0384292749794331,1610902754,734224932,rh_l,7048,"[0.0, 0.0, 0.0, 0.0, 3.900107913068496e-05, 0.0, 0.0, 0.0, 0.0]",0.010822916666666665,-0.3370106986595628,"[-0.44822931912470104, 0.003038749946355184]",-0.003781406029334975,1610902754,736577033,,3400,"[0, 0, 0, 0]","[-64, 52, 62, -54]","[2029, 195, 3883, 282]","[-33, 22, 29, -26]"
1610902754,763164997,,9412,16.13000000000002,"[2030, 194, 3882, 282]",38.80919731667823,0,-0.012082143079680228,"[0.044636376411500325, 0.01161459485347209]",rh_l,0.01015625,"[0.0, 0.0, 0.0, 2.7408239475334994e-05, 0.0002683397033251822, 5.615234385913936e-06, 0.0, 0.0, 0.0]",-0.005110718875784559,"[-0.009542124542124546, -0.015627289377289393]",0.0384292749794331,1610902754,734224932,rh_l,7048,"[0.0, 0.0, 0.0, 0.0, 3.900107913068496e-05, 0.0, 0.0, 0.0, 0.0]",0.010822916666666665,-0.3370106986595628,"[-0.44822931912470104, 0.003038749946355184]",-0.003781406029334975,1610902754,758938074,,3401,"[0, 0, 0, 0]","[-64, 52, 62, -54]","[2029, 195, 3883, 282]","[-33, 22, 29, -26]"
1610902754,787317991,,9413,16.140000000000022,"[2030, 194, 3882, 282]",41.914538114082426,0,-0.026846687768463332,"[-0.03638955373626259, 0.037764239978781866]",rh_l,0.011106770833333333,"[0.0, 0.0, 0.0, 1.4487212865788024e-05, 0.00030241499189287424, 1.216864438902121e-05, 0.0, 0.0, 0.0]",0.023699843474699212,"[0.011158097471110398, -0.01824652487020601]",0.03384492292426234,1610902754,769630448,rh_l,7049,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.950053956534248e-05, 0.0, 0.0, 0.0]",0.0108203125,0.1294812948121054,"[-0.5846609328680578, 0.07397817596886933]",0.0002285092602915026,1610902754,786142110,,3402,"[0, 0, 0, 0]","[-64, 52, 62, -54]","[2029, 195, 3883, 282]","[-33, 22, 29, -26]"
1610902754,814440965,,9414,16.150000000000023,"[2030, 194, 3882, 282]",41.18806280871623,0,0.04431136006013075,"[0.2535075655754902, 0.010887711573962445]",rh_l,0.0098046875,"[0.0, 0.0, 0.0, 1.7619582649786025e-05, 0.000261906097875908, 1.0849670616153162e-05, 0.0, 0.0, 0.0]",0.04890160020361391,"[-0.017264276228419615, -0.016590779738190113]",0.03462760354469118,1610902754,799015313,rh_l,7050,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.010390625,-0.02663550165803872,"[0.9672453386983405, -0.056346868771250044]",0.014401280478679479,1610902754,810623884,,3403,"[0, 0, 0, 0]","[-64, 52, 62, -54]","[2029, 195, 3883, 282]","[-33, 22, 28, -26]"
1610902754,837199926,,9415,16.160000000000025,"[2030, 194, 3882, 282]",47.35099741473713,0,-0.018051739995376268,"[-0.0033561784460659273, 0.004680275815264914]",rh_l,0.010325520833333334,"[0.0, 0.0, 0.0, 1.4487212865788024e-05, 0.0002754689194262028, 1.2713738215097692e-05, 0.0, 0.0, 0.0]",0.12393610437207896,"[0.009561340299045184, -0.015803458836245707]",0.01871234805961687,1610902754,827867564,rh_l,7051,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.010223958333333333,0.5516122636349702,"[-0.929758185157366, -0.027288023452464963]",0.006360802095330073,1610902754,836601018,,3404,"[0, 0, 0, 0]","[-64, 52, 62, -54]","[2029, 195, 3883, 282]","[-33, 22, 28, -26]"
1610902754,862839937,,9416,16.170000000000027,"[2030, 194, 3882, 282]",39.28023300461701,0,-0.018051739995376268,"[-0.0033561784460659273, 0.004680275815264914]",rh_l,0.010325520833333334,"[0.0, 0.0, 0.0, 1.4487212865788024e-05, 0.0002754689194262028, 1.2713738215097692e-05, 0.0, 0.0, 0.0]",0.12393610437207896,"[0.009561340299045184, -0.015803458836245707]",0.01871234805961687,1610902754,827867564,rh_l,7051,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.010223958333333333,0.5516122636349702,"[-0.929758185157366, -0.027288023452464963]",0.006360802095330073,1610902754,859544038,,3405,"[0, 0, 0, 0]","[-64, 52, 62, -54]","[2029, 195, 3883, 282]","[-33, 22, 28, -26]"
1610902754,885504007,,9417,16.180000000000028,"[2030, 194, 3882, 282]",46.21058778163389,0,-0.016739240729552428,"[-0.24213222410642227, -0.010805781387009956]",rh_l,0.0109765625,"[0.0, 0.0, 0.0, 1.8794222341966815e-05, 0.00028503494104370475, 1.9112065274384804e-05, 0.0, 0.0, 0.0]",-0.05424822813302603,"[0.017933401118454484, -0.013959498390103369]",0.041608293437002244,1610902754,866760706,rh_l,7052,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.010473958333333335,-0.5886884987946043,"[-0.21525802208032718, -0.047410940626559275]",-0.005881690302588302,1610902754,883620977,,3406,"[0, 0, 0, 0]","[-63, 51, 62, -54]","[2029, 195, 3883, 282]","[-33, 22, 28, -26]"
1610902754,916522979,,9418,16.19000000000003,"[2030, 194, 3882, 282]",32.81799616603419,0,-0.006101128915799704,"[-0.07089966649386126, -0.008212214614996818]",rh_l,0.011184895833333333,"[0.0, 0.0, 0.0, 2.2318137780530378e-05, 0.0002939698752015829, 1.357974633720005e-05, 0.0, 0.0, 0.0]",0.08169245486110203,"[0.004003825045734289, -0.014506070181273907]",0.029906472858640825,1610902754,900907392,rh_l,7053,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0106796875,0.34269271631107756,"[0.4079334689381041, 0.016006583806420862]",-0.004685487469812196,1610902754,912026882,,3407,"[0, 0, 0, 0]","[-63, 51, 62, -54]","[2029, 195, 3883, 282]","[-32, 22, 28, -26]"
1610902754,938210010,,9419,16.20000000000003,"[2030, 194, 3882, 282]",46.596129490968075,0,-0.005288208880983513,"[0.0343522631198626, -0.04314265611805421]",rh_l,0.011354166666666667,"[0.0, 0.0, 0.0, 2.3492775653721765e-05, 0.0002983812883030623, 1.2580151633301284e-05, 0.0, 0.0, 0.0]",-0.08151392062955362,"[0.005873197903014419, -0.011283584534731312]",0.05188234254621331,1610902754,932916497,rh_l,7054,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.010729166666666666,-0.6865505826411729,"[-0.058401284799438465, -0.10067403154641763]",-0.0003737916923162329,1610902754,937567949,,3408,"[0, 0, 0, 0]","[-63, 51, 61, -54]","[2029, 195, 3883, 282]","[-32, 21, 28, -26]"
1610902754,961997032,,9420,16.210000000000033,"[2030, 194, 3882, 282]",42.4464549557755,0,-0.005288208880983513,"[0.0343522631198626, -0.04314265611805421]",rh_l,0.011354166666666667,"[0.0, 0.0, 0.0, 2.3492775653721765e-05, 0.0002983812883030623, 1.2580151633301284e-05, 0.0, 0.0, 0.0]",-0.08151392062955362,"[0.005873197903014419, -0.011283584534731312]",0.05188234254621331,1610902754,932916497,rh_l,7054,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.010729166666666666,-0.6865505826411729,"[-0.058401284799438465, -0.10067403154641763]",-0.0003737916923162329,1610902754,959870100,,3409,"[0, 0, 0, 0]","[-63, 51, 61, -54]","[2029, 195, 3883, 282]","[-32, 21, 28, -26]"
1610902754,988262891,,9421,16.220000000000034,"[2030, 194, 3882, 282]",44.57899603558409,0,-0.06272135650654219,"[-0.36511304301630604, -0.032613298646112385]",rh_l,0.013567708333333333,"[0.0, 0.0, 0.0, 9.788657735043671e-06, 0.0003582034260034561, 2.916789526352659e-05, 0.0, 0.0, 0.0]",0.037796232256485075,"[0.042226487523992315, -0.011153002467781751]",0.03176907888483418,1610902754,968208171,rh_l,7055,"[0.0, 0.0, 0.0, 0.0, 3.9154630940174684e-05, 0.0, 0.0, 0.0, 0.0]",0.011481770833333332,0.5699152627721548,"[-1.0300811919825026, -0.0037000814115408943]",-0.021780335005650818,1610902754,986609935,,3410,"[0, 0, 0, 0]","[-63, 51, 61, -54]","[2029, 195, 3883, 283]","[-32, 21, 28, -26]"
1610902755,11842966,,9422,16.230000000000036,"[2031, 194, 3881, 282]",44.676814264867225,0,0.04679995504051476,"[-0.03185425776423867, 0.002572138338374985]",rh_l,0.012083333333333333,"[0.0, 0.0, 0.0, 1.4878758520353585e-05, 0.0003140769258607179, 2.665432111825794e-05, 0.0, 0.0, 0.0]",0.02085760817191882,"[0.018865455665024605, -0.015867456896551703]",0.016959596640556025,1610902754,999925616,rh_l,7056,"[0.0, 0.0, 0.0, 0.0, 3.9154630940174684e-05, 0.0, 0.0, 0.0, 0.0]",0.011833333333333333,0.4669191432121389,"[0.7365357411029707, 0.1486391614699719]",-0.008809995998472615,1610902755,10129928,,3411,"[0, 0, 0, 0]","[-63, 51, 65, -54]","[2029, 195, 3883, 282]","[-32, 21, 28, -26]"
1610902755,47441959,,9423,16.240000000000038,"[2031, 194, 3881, 282]",32.993541789577186,0,0.014116290088089916,"[0.07088455518381945, 0.0034703728828948664]",rh_l,0.011666666666666667,"[0.0, 0.0, 0.0, 1.4487212865788024e-05, 0.0003157336905132979, 1.4362839465320576e-05, 0.0, 0.0, 0.0]",0.017999048549137586,"[0.01005660076530615, -0.014600605867346924]",0.03475763036452907,1610902755,29442342,rh_l,7057,"[0.0, 0.0, 0.0, 1.950053956534248e-05, 0.0, 0.0, 0.0, 0.0, 0.0]",0.011971354166666667,-0.6029812969085104,"[0.2984360426599635, -0.0429197679039599]",-0.0026388898349441465,1610902755,43869972,,3412,"[0, 0, 0, 0]","[-59, 55, 57, -54]","[2029, 195, 3883, 282]","[-30, 21, 26, -26]"
1610902755,70231914,,9424,16.25000000000004,"[2031, 194, 3881, 282]",44.34381409510921,0,0.023524405289942426,"[0.0007118152399115771, 0.0035048989241270876]",rh_l,0.010768229166666667,"[0.0, 0.0, 0.0, 1.801112921384629e-05, 0.00028347797342576087, 1.699003769317642e-05, 0.0, 0.0, 0.0]",-0.016343446822900776,"[0.00787700811884611, -0.015218517878735531]",0.028227600933887806,1610902755,67634062,rh_l,7058,"[0.0, 0.0, 0.0, 0.0, 7.830926188034937e-05, 0.0, 0.0, 0.0, 0.0]",0.011888020833333332,0.17098023945088575,"[0.05706976921856468, 0.01617921401258197]",0.003286217006204281,1610902755,68994998,,3413,"[0, 0, 0, 0]","[-59, 51, 57, -54]","[2029, 195, 3883, 282]","[-30, 21, 26, -26]"
1610902755,96252918,,9425,16.26000000000004,"[2031, 194, 3881, 282]",38.74037333628899,0,0.023524405289942426,"[0.0007118152399115771, 0.0035048989241270876]",rh_l,0.010768229166666667,"[0.0, 0.0, 0.0, 1.801112921384629e-05, 0.00028347797342576087, 1.699003769317642e-05, 0.0, 0.0, 0.0]",-0.016343446822900776,"[0.00787700811884611, -0.015218517878735531]",0.028227600933887806,1610902755,67634062,rh_l,7058,"[0.0, 0.0, 0.0, 0.0, 7.830926188034937e-05, 0.0, 0.0, 0.0, 0.0]",0.011888020833333332,0.17098023945088575,"[0.05706976921856468, 0.01617921401258197]",0.003286217006204281,1610902755,94502925,,3414,"[0, 0, 0, 0]","[-59, 51, 57, -54]","[2029, 195, 3883, 282]","[-30, 21, 26, -26]"
