/dynamixel_param/header/stamp/secs,/dynamixel_param/header/stamp/nsecs,/dynamixel_param/header/frame_id,/dynamixel_param/header/seq,/dynamixel_param/interval,/dynamixel_param/trg_pos,/dynamixel_param/fps,/dynamixel_param/surface_pos,/fingervision/fv_filter1_objinfo/d_obj_area,/fingervision/fv_filter1_objinfo/d_obj_center_filtered,/fingervision/fv_filter1_objinfo/fv,/fingervision/fv_filter1_objinfo/obj_area,/fingervision/fv_filter1_objinfo/obj_s,/fingervision/fv_filter1_objinfo/d_obj_orientation_filtered,/fingervision/fv_filter1_objinfo/obj_center,/fingervision/fv_filter1_objinfo/obj_orientation,/fingervision/fv_filter1_objinfo/header/stamp/secs,/fingervision/fv_filter1_objinfo/header/stamp/nsecs,/fingervision/fv_filter1_objinfo/header/frame_id,/fingervision/fv_filter1_objinfo/header/seq,/fingervision/fv_filter1_objinfo/mv_s,/fingervision/fv_filter1_objinfo/obj_area_filtered,/fingervision/fv_filter1_objinfo/d_obj_orientation,/fingervision/fv_filter1_objinfo/d_obj_center,/fingervision/fv_filter1_objinfo/d_obj_area_filtered,/dynamixel_data/header/stamp/secs,/dynamixel_data/header/stamp/nsecs,/dynamixel_data/header/frame_id,/dynamixel_data/header/seq,/dynamixel_data/Vel,/dynamixel_data/Pwm,/dynamixel_data/Pos,/dynamixel_data/Cur
1610890153,969712018,,149827,16.0,"[2009, 194, 3863, 282]",37.92318264014467,1,0.02473867740296682,"[0.03280168546895558, 0.00146571709342649]",rh_l,0.009244791666666667,"[0.0, 0.0, 0.0, 2.9381328204181045e-05, 0.0002324172673979774, 7.830925824237056e-06, 0.0, 0.0, 0.0]",-0.13256885904462806,"[-0.039099597585513075, -0.018420523138832984]",0.02003732407644379,1610890153,965570447,rh_l,141900,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.009338541666666669,0.2409010294717309,"[0.045255600572617294, 0.04276559590195785]",-0.00286470871829229,1610890153,968166112,,5780,"[0, 0, 0, 0]","[-67, 34, 65, -55]","[2009, 195, 3863, 282]","[-34, 11, 30, -26]"
1610890153,992791891,,149828,16.01,"[2009, 194, 3863, 282]",46.11861984034482,1,-0.011733949823345425,"[0.07978335184834359, 0.02029436689919543]",rh_l,0.009518229166666666,"[1.6890231790966936e-06, 0.0, 0.0, 3.487065259832889e-05, 0.00022758051636628807, 1.0802071301441174e-05, 0.0, 0.0, 0.0]",-0.3926735982967196,"[-0.04704905217901114, -0.019230017588430723]",0.06543609133222347,1610890153,988873555,rh_l,141901,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.009322916666666667,-1.9481850771055786,"[0.3411328048386535, 0.03473761738553237]",-0.0022042049403192053,1610890153,991540908,,5781,"[0, 0, 0, 0]","[-67, 34, 65, -55]","[2009, 195, 3863, 282]","[-34, 11, 30, -26]"
1610890154,19320964,,149829,16.020000000000003,"[2009, 194, 3863, 282]",38.74896298143991,1,-0.011733949823345425,"[0.07978335184834359, 0.02029436689919543]",rh_l,0.009518229166666666,"[1.6890231790966936e-06, 0.0, 0.0, 3.487065259832889e-05, 0.00022758051636628807, 1.0802071301441174e-05, 0.0, 0.0, 0.0]",-0.3926735982967196,"[-0.04704905217901114, -0.019230017588430723]",0.06543609133222347,1610890153,988873555,rh_l,141901,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.009322916666666667,-1.9481850771055786,"[0.3411328048386535, 0.03473761738553237]",-0.0022042049403192053,1610890154,15291929,,5782,"[0, 0, 0, 0]","[-67, 34, 65, -55]","[2009, 195, 3863, 282]","[-34, 11, 30, -26]"
1610890154,42732954,,149830,16.030000000000005,"[2010, 194, 3863, 282]",46.03408953716813,1,-0.04404315637384616,"[0.05128710634464079, -0.007103146829328949]",rh_l,0.010807291666666666,"[2.70243708655471e-06, 0.0, 0.0, 2.9634678867296316e-05, 0.0002778136113192886, 5.481647804117529e-06, 0.0, 0.0, 0.0]",-0.17585114564056506,"[-0.044664371772805515, -0.018941480206540462]",0.0689469794635581,1610890154,18141723,rh_l,141902,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.009744791666666665,-0.11995585549920991,"[-0.08147692763707058, -0.009858402544712088]",-0.01730111730183919,1610890154,41218996,,5783,"[0, 0, 0, 0]","[-67, 34, 65, -55]","[2009, 195, 3863, 282]","[-34, 11, 30, -26]"
1610890154,67739009,,149831,16.040000000000006,"[2010, 194, 3863, 282]",40.31744078745002,1,0.07321117676885885,"[-0.048291107611487014, 0.025887464201299892]",rh_l,0.0087109375,"[1.6890231790966936e-06, 0.0, 0.0, 3.0402416086872108e-05, 0.0002212697290815413, 3.64675452146912e-06, 0.0, 0.0, 0.0]",-0.22580519081157302,"[-0.04507260303224427, -0.020238095238095256]",0.06598413296020805,1610890154,46776069,rh_l,141903,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.009752604166666668,0.10347177139474363,"[0.014256699260348294, 0.04528181057652912]",-0.002789258062422312,1610890154,66653966,,5784,"[0, 0, 0, 0]","[-64, 34, 65, -55]","[2009, 195, 3863, 282]","[-34, 11, 30, -26]"
1610890154,89709997,,149832,16.050000000000008,"[2010, 194, 3863, 282]",45.91817654335855,1,-0.007057083745488515,"[0.046279751382145635, -0.003517327758493388]",rh_l,0.008984375,"[1.0134139074580162e-06, 0.0, 0.0, 3.136208761134185e-05, 0.00022650569735560566, 3.52391657543194e-06, 0.0, 0.0, 0.0]",-0.1750898723087615,"[-0.041671842650103486, -0.015181159420289855]",0.03311472512962225,1610890154,85522598,rh_l,141904,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.009453124999999998,0.8483187701945065,"[-0.0877694201238203, -0.1305132601117742]",0.007023132845829114,1610890154,89158058,,5785,"[0, 0, 0, 0]","[-64, 33, 65, -55]","[2009, 195, 3863, 282]","[-33, 11, 30, -26]"
1610890154,114801883,,149833,16.06000000000001,"[2010, 194, 3863, 282]",40.160323250892866,1,-0.007057083745488515,"[0.046279751382145635, -0.003517327758493388]",rh_l,0.008984375,"[1.0134139074580162e-06, 0.0, 0.0, 3.136208761134185e-05, 0.00022650569735560566, 3.52391657543194e-06, 0.0, 0.0, 0.0]",-0.1750898723087615,"[-0.041671842650103486, -0.015181159420289855]",0.03311472512962225,1610890154,85522598,rh_l,141904,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.009453124999999998,0.8483187701945065,"[-0.0877694201238203, -0.1305132601117742]",0.007023132845829114,1610890154,113344907,,5786,"[0, 0, 0, 0]","[-64, 33, 65, -55]","[2009, 195, 3863, 282]","[-33, 11, 30, -26]"
1610890154,141401052,,149834,16.07000000000001,"[2010, 194, 3863, 282]",38.04012334482133,1,0.024531119746763034,"[-0.06078095264165358, 0.016369098133396355]",rh_l,0.0081640625,"[2.0268278149160324e-06, 0.0, 0.0, 1.9377703210921027e-05, 0.00021155782451387495, 8.614018042862881e-06, 0.0, 0.0, 0.0]",-0.2862047207107525,"[-0.025284802916381872, -0.01993620414673047]",0.04363729288539395,1610890154,118962266,rh_l,141905,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.009236979166666668,-0.31467321253822406,"[-0.4900479195463787, 0.14219772536140657]",0.0069816213145883575,1610890154,138122081,,5787,"[0, 0, 0, 0]","[-64, 33, 65, -59]","[2009, 195, 3863, 282]","[-33, 11, 30, -27]"
1610890154,163959980,,149835,16.080000000000013,"[2010, 194, 3863, 282]",45.154908652448675,1,-0.02387721928884041,"[-0.10838820503473656, -0.003979568770398153]",rh_l,0.0091015625,"[2.364632564422209e-06, 0.0, 0.0, 1.881725256680511e-05, 0.0002372002782067284, 9.005564606923144e-06, 0.0, 0.0, 0.0]",0.13660134749091518,"[-0.02933272021254853, -0.017305334150827738]",0.03712564958941328,1610890154,158225632,rh_l,141906,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.009153645833333333,0.16584526390275964,"[0.10309654287323859, -0.06700571713344018]",0.0045529674214893606,1610890154,162142992,,5788,"[0, 0, 0, 0]","[-64, 33, 65, -55]","[2009, 195, 3863, 282]","[-33, 11, 30, -27]"
1610890154,193767070,,149836,16.090000000000014,"[2010, 194, 3863, 282]",33.84195323468186,1,-0.019305178130995363,"[-0.07213131784232153, 0.005141806276254714]",rh_l,0.009544270833333333,"[2.0268278149160324e-06, 0.0, 0.0, 1.5208885997708421e-05, 0.00026247420464642346, 0.0, 0.0, 0.0, 0.0]",-0.08257472454107044,"[-0.03162151627363089, -0.018125121808614305]",0.06500733091803887,1610890154,181157735,rh_l,141907,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.008901041666666666,-1.215836215659138,"[0.0998075083250045, 0.03574847268855225]",0.00950056307005952,1610890154,192142009,,5789,"[0, 0, 0, 0]","[-64, 33, 65, -55]","[2009, 195, 3863, 283]","[-33, 11, 30, -27]"
