%time,field.data0,field.data1,field.data2
1.61278807401043E+018,1.26728708258,0.570914680266,0.160089743536
1.61278807403867E+018,1.1267146782,0.464492708011,-0.429822640563
1.61278807408802E+018,1.12527145393,0.411220096035,0.855916171335
1.61278807411225E+018,1.06143486343,0.339055654132,0.268415248808
1.61278807414389E+018,1.00993200396,0.274617289367,0.36077510153
1.61278807418237E+018,0.857103804744,0.179155124965,-0.667439357413
1.61278807421147E+018,0.678131368271,0.0821033751403,-1.03519341312
1.61278807424657E+018,0.481576194427,-0.0123623866615,-1.33989251633
1.61278807428387E+018,0.419105378425,-0.0509361661045,-0.139038902894
1.61278807431125E+018,0.199777690308,-0.138196848388,-1.73136450298
1.61278807433892E+018,0.126500519171,-0.163570215317,-0.425801662303
1.61278807437493E+018,0.0261769729004,-0.188405959019,-0.694617501213
1.61278807440843E+018,-0.0202219950853,-0.183823297145,-0.179683374459
1.61278807444882E+018,-0.105963078172,-0.182781991323,-0.544508761103
1.61278807448516E+018,-0.160778090359,-0.160651395232,-0.253462910452
1.61278807451512E+018,-0.24695506299,-0.144884287654,-0.607347489877
1.61278807454546E+018,-0.239812008337,-0.0955014340208,0.220452428867
1.61278807458404E+018,-0.398717684603,-0.110595327402,-1.51690502688
1.61278807462342E+018,-0.402662275153,-0.0809207354739,-0.251760798758
1.61278807465552E+018,-0.363035536552,-0.055049424203,-0.00262163391419
1.61278807468065E+018,-0.299535356613,-0.0295267597458,0.202692726202
1.61278807471406E+018,-0.308788341666,-0.0317424837809,-0.474155039154
1.61278807475162E+018,-0.281872314916,-0.0209665662492,-0.118832215145
1.61278807477699E+018,-0.288521470601,-0.0251767828372,-0.454170723758
1.61278807481213E+018,-0.264674111364,-0.0202976773996,-0.169310036063
1.61278807484598E+018,-0.251654558306,-0.0217469559301,-0.271320131255
1.6127880748849E+018,-0.271376648873,-0.0347013642647,-0.583610977965
1.61278807491546E+018,-0.264284843997,-0.0368885452818,-0.323175476277
1.61278807494475E+018,-0.273633895745,-0.0431221221256,-0.462873985289
1.61278807497603E+018,-0.313866236302,-0.0606444343768,-0.788750169715
1.61278807501489E+018,-0.307823304712,-0.0583829486971,-0.338059237536
1.61278807504329E+018,-0.348454278398,-0.072394398893,-0.800062970568
1.61278807508402E+018,-0.355439845313,-0.0731284429683,-0.497321347028
1.61278807511192E+018,-0.401149694592,-0.0876047987204,-0.89803849596
1.61278807514987E+018,-0.395804398136,-0.0830075001707,-0.429301285734
