/dynamixel_param/header/stamp/secs,/dynamixel_param/header/stamp/nsecs,/dynamixel_param/header/frame_id,/dynamixel_param/header/seq,/dynamixel_param/interval,/dynamixel_param/trg_pos,/dynamixel_param/fps,/dynamixel_param/surface_pos,/fingervision/fv_filter1_objinfo/d_obj_area,/fingervision/fv_filter1_objinfo/d_obj_center_filtered,/fingervision/fv_filter1_objinfo/fv,/fingervision/fv_filter1_objinfo/obj_area,/fingervision/fv_filter1_objinfo/obj_s,/fingervision/fv_filter1_objinfo/d_obj_orientation_filtered,/fingervision/fv_filter1_objinfo/obj_center,/fingervision/fv_filter1_objinfo/obj_orientation,/fingervision/fv_filter1_objinfo/header/stamp/secs,/fingervision/fv_filter1_objinfo/header/stamp/nsecs,/fingervision/fv_filter1_objinfo/header/frame_id,/fingervision/fv_filter1_objinfo/header/seq,/fingervision/fv_filter1_objinfo/mv_s,/fingervision/fv_filter1_objinfo/obj_area_filtered,/fingervision/fv_filter1_objinfo/d_obj_orientation,/fingervision/fv_filter1_objinfo/d_obj_center,/fingervision/fv_filter1_objinfo/d_obj_area_filtered,/dynamixel_data/header/stamp/secs,/dynamixel_data/header/stamp/nsecs,/dynamixel_data/header/frame_id,/dynamixel_data/header/seq,/dynamixel_data/Vel,/dynamixel_data/Pwm,/dynamixel_data/Pos,/dynamixel_data/Cur
1610904752,167876958,,92490,16.0,"[2029, 194, 3883, 282]",46.692092754010396,0,0.01701492321472783,"[0.08557528073729767, 0.016287149812716378]",rh_l,0.0067708333333333336,"[0.0, 0.0, 0.0, 3.1323704661190277e-06, 0.00017455132910981774, 1.8843356883735396e-05, 0.0, 0.0, 0.0]",0.07795803327040958,"[0.013145604395604442, -0.0010782967032966946]",0.028495769563611967,1610904752,151316812,rh_l,65076,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.007466145833333333,0.9488461786230928,"[-0.4534050832224357, -0.032376347380517534]",-0.004575846657619004,1610904752,166199922,,11399,"[0, 0, 0, 0]","[-63, 56, 58, -51]","[2029, 195, 3883, 282]","[-32, 25, 26, -24]"
1610904752,198787927,,92491,16.03,"[2029, 194, 3883, 282]",33.346615889774924,0,0.006588639121940886,"[0.02999064440037324, 0.016836379839675862]",rh_l,0.006549479166666667,"[0.0, 0.0, 0.0, 6.264740932238055e-06, 0.0001672808575676754, 1.6679872715030797e-05, 0.0, 0.0, 0.0]",0.12058287010706119,"[0.006226924169270071, -0.0026341948310139125]",0.05101091527367247,1610904752,184913153,rh_l,65077,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0073671875,-0.6701666026684431,"[0.20593552810808682, 0.04631153516739272]",0.003330514797584053,1610904752,197963953,,11400,"[0, 0, 0, 0]","[-63, 56, 58, -51]","[2029, 195, 3883, 282]","[-32, 25, 26, -24]"
1610904752,224827051,,92492,16.060000000000002,"[2030, 194, 3882, 282]",39.46020396643209,0,-0.04062255161831228,"[-0.1251499853889345, -0.014331349399986293]",rh_l,0.0077734375,"[0.0, 0.0, 0.0, 1.957731456059264e-06, 0.0001982729008886963, 2.6086196157848462e-05, 0.0, 0.0, 0.0]",0.11735768826352633,"[0.020076573342905035, 0.0005324240248863228]",0.036098764212796425,1610904752,215043174,rh_l,65078,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.007205729166666666,0.4949266733294367,"[-0.45966277864973815, -0.10509846162736611]",0.0029816395291725347,1610904752,223537921,,11401,"[0, 0, 0, 0]","[-63, 56, 58, -51]","[2029, 195, 3883, 282]","[-32, 24, 26, -24]"
1610904752,247869014,,92493,16.090000000000003,"[2030, 194, 3882, 282]",43.78873518818187,0,0.0428880942304328,"[0.20966771980298876, 0.007874009887696362]",rh_l,0.006575520833333333,"[0.0, 0.0, 0.0, 3.52391657543194e-06, 0.0001862424542196095, 5.501609393832041e-06, 0.0, 0.0, 0.0]",-0.5343521789574087,"[-0.014016973125883986, 0.001357850070721359]",0.11421724397360768,1610904752,242974391,rh_l,65079,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.00703125,-2.7968161845869877,"[1.220625168920818, -0.029552097419709142]",0.0048952105108869695,1610904752,246184110,,11402,"[0, 0, 0, 0]","[-60, 56, 54, -51]","[2029, 195, 3883, 282]","[-32, 24, 25, -24]"
1610904752,271855115,,92494,16.120000000000005,"[2030, 194, 3882, 282]",43.267903195857144,0,0.0428880942304328,"[0.20966771980298876, 0.007874009887696362]",rh_l,0.006575520833333333,"[0.0, 0.0, 0.0, 3.52391657543194e-06, 0.0001862424542196095, 5.501609393832041e-06, 0.0, 0.0, 0.0]",-0.5343521789574087,"[-0.014016973125883986, 0.001357850070721359]",0.11421724397360768,1610904752,242974391,rh_l,65079,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.00703125,-2.7968161845869877,"[1.220625168920818, -0.029552097419709142]",0.0048952105108869695,1610904752,269280910,,11403,"[0, 0, 0, 0]","[-60, 56, 54, -51]","[2029, 195, 3883, 283]","[-31, 24, 24, -24]"
1610904752,294827938,,92495,16.150000000000006,"[2030, 194, 3882, 282]",44.64875452416436,0,0.0428880942304328,"[0.20966771980298876, 0.007874009887696362]",rh_l,0.006575520833333333,"[0.0, 0.0, 0.0, 3.52391657543194e-06, 0.0001862424542196095, 5.501609393832041e-06, 0.0, 0.0, 0.0]",-0.5343521789574087,"[-0.014016973125883986, 0.001357850070721359]",0.11421724397360768,1610904752,242974391,rh_l,65079,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.00703125,-2.7968161845869877,"[1.220625168920818, -0.029552097419709142]",0.0048952105108869695,1610904752,293380975,,11404,"[0, 0, 0, 0]","[-63, 56, 58, -51]","[2029, 195, 3883, 282]","[-31, 24, 24, -24]"
1610904752,318830966,,92496,16.180000000000007,"[2030, 194, 3882, 282]",43.01806135321689,0,0.009195918810836597,"[-0.025764412252444635, -0.013311088644891732]",rh_l,0.006145833333333333,"[0.0, 0.0, 0.0, 3.9154630826487846e-07, 0.0001646951277507469, 1.4444218322751112e-05, 0.0, 0.0, 0.0]",-0.1318169887751773,"[0.01599576271186436, -0.0011728208232445374]",0.05047728831381306,1610904752,289700282,rh_l,65080,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.006763020833333333,1.3641249914270148,"[-0.6423148964189542, 0.0541599280357414]",0.007013004751925166,1610904752,317212104,,11405,"[0, 0, 0, 0]","[-60, 56, 54, -51]","[2029, 195, 3883, 282]","[-31, 24, 24, -24]"
1610904752,344995021,,92497,16.210000000000008,"[2030, 194, 3882, 282]",39.12670012500233,0,-0.0708236711915785,"[0.0327802112517175, -0.0015621164871683058]",rh_l,0.008203125,"[0.0, 0.0, 0.0, 9.397111170983408e-06, 0.0002142510493285954, 1.5793903003213927e-05, 0.0, 0.0, 0.0]",-0.29997672039680845,"[0.02066326530612242, -0.0019387755102040875]",0.04733871529409352,1610904752,318748362,rh_l,65081,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.007049479166666667,0.1080475205149372,"[-0.16068196570162502, 0.02636851340809961]",-0.010554714129336099,1610904752,340192079,,11406,"[0, 0, 0, 0]","[-60, 56, 54, -51]","[2029, 195, 3883, 282]","[-30, 24, 24, -24]"
1610904752,367878913,,92498,16.24000000000001,"[2031, 194, 3881, 282]",45.541254519593046,0,-0.0241515029948348,"[-0.031000089138641627, -0.022013009668029944]",rh_l,0.009075520833333333,"[0.0, 0.0, 0.0, 9.788657735043671e-06, 0.0002348970592720434, 1.9307070033391938e-05, 0.0, 0.0, 0.0]",-0.14245632401053523,"[0.024743799959008023, 8.198401311741829e-05]",0.043096737659127915,1610904752,354870165,rh_l,65082,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.007554687499999999,0.11743537926292294,"[-0.11296597384370884, -0.05594293073691548]",-0.016702742552691236,1610904752,366230010,,11407,"[0, 0, 0, 0]","[-60, 56, 58, -51]","[2029, 195, 3882, 282]","[-30, 24, 24, -24]"
1610904752,397018909,,92499,16.27000000000001,"[2031, 194, 3881, 282]",36.45794254422183,0,0.053510306924783695,"[0.0896408746514684, -0.02180957938512277]",rh_l,0.00765625,"[0.0, 0.0, 0.0, 1.5661852330595138e-06, 0.00020448850409593433, 1.596894617250655e-05, 0.0, 0.0, 0.0]",-0.6031906117241457,"[0.02093658892128281, 0.002842565597667652]",0.0910706484396422,1610904752,381393482,rh_l,65083,"[0.0, 0.0, 0.0, 0.0, 7.830926188034937e-05, 0.0, 0.0, 0.0, 0.0]",0.007531250000000001,-1.8087447652386155,"[0.14354204030081202, -0.10408131021283022]",0.00212382915592796,1610904752,393217086,,11408,"[0, 0, 0, 0]","[-56, 56, 50, -51]","[2029, 195, 3883, 282]","[-28, 24, 22, -24]"
