time,orientation of object,interval of finger
1608571441.104,0.03241786999621782,19.8
1608571441.121,0.028700828605521887,19.8
1608571441.157,0.02220410586715648,19.8
1608571441.191,0.02849433351475202,19.8
1608571441.228,0.023248235179983215,19.8
1608571441.255,0.02060644258238031,19.8
1608571441.287,0.019977054160942316,19.8
1608571441.326,0.02766633501277578,19.8
1608571441.353,0.019493558924985423,19.8
1608571441.392,0.036629669196268116,19.8
1608571441.421,0.02340184959702104,19.8
1608571441.469,0.02961641125639752,19.8
1608571441.500,0.0213617980412889,19.8
1608571441.537,0.015258678067240274,19.8
1608571441.560,0.021117319175727133,19.8
1608571441.595,0.024657008600891015,19.8
1608571441.624,0.028570090842610047,19.8
1608571441.666,0.0303231462435785,19.8
1608571441.693,0.01821066267706208,19.8
1608571441.737,0.023964814534360536,19.8
1608571441.754,0.019161012961186955,19.8
1608571441.792,0.028336479761758807,19.8
1608571441.826,0.026441206464460697,19.8
1608571441.855,0.026092932568426985,19.8
1608571441.905,0.00867119830088031,19.8
1608571441.932,0.0019621776818603324,19.8
1608571441.963,0.014413326567390469,19.8
1608571441.993,0.014169913779860169,19.8
1608571442.024,0.012902811443886572,19.8
1608571442.067,0.021581907829345156,19.8
1608571442.099,0.0021680753570823565,19.8
1608571442.132,0.012069155444926429,19.8
1608571442.167,0.011444544396109839,19.8
1608571442.191,0.008791187788755348,19.8
1608571442.229,0.011837950835925959,19.8
1608571442.260,0.010337726483874123,19.8
1608571442.300,0.010740399511572634,19.8
1608571442.325,0.01784977944897925,19.8
1608571442.369,0.0026197298737941723,19.8
1608571442.397,0.01067726955482632,19.8
1608571442.418,0.0006872502464203724,19.8
1608571442.454,0.01884341402052017,19.8
1608571442.492,0.009273371862738248,19.8
1608571442.523,0.016039345423228758,19.8
1608571442.556,0.0017020187341731173,19.8
1608571442.588,0.009794483051779436,19.8
1608571442.621,-0.004093126149868219,19.8
1608571442.666,0.008491301469829392,19.8
1608571442.698,0.0011132449459548687,19.8
1608571442.718,-0.008113857428556985,19.8
1608571442.761,-0.009359815713792888,19.8
1608571442.788,-0.011781312303039427,19.8
1608571442.827,-0.001642464246459696,19.8
1608571442.856,-0.0010976303132467266,19.8
1608571442.900,-0.009969844451613075,19.8
1608571442.924,-0.01880916811552187,19.8
1608571442.956,-0.009009531996282205,19.8
1608571442.997,-0.008377252250390498,19.8
1608571443.026,-0.013449779915959846,19.8
1608571443.053,-0.007461197835245517,19.8
1608571443.096,-0.014585365699270209,19.8
1608571443.122,-0.023362818837693256,19.8
1608571443.152,-0.01981015249727975,19.8
1608571443.192,-0.02053789168477557,19.8
1608571443.220,-0.019792725429097026,19.8
1608571443.254,-0.018583695681062436,19.8
1608571443.292,-0.020918098549951,19.8
1608571443.320,-0.024702290468710385,19.8
1608571443.359,-0.029344816570098207,19.8
1608571443.392,-0.03330149367725742,19.8
1608571443.431,-0.02943006913816532,19.8
1608571443.453,-0.025972621529425557,19.8
1608571443.487,-0.025376925602486736,19.8
1608571443.519,-0.021032881150291147,19.8
1608571443.552,-0.028250271133444735,19.8
1608571443.589,-0.0231582510917782,19.8
1608571443.623,-0.036160143603636535,19.8
1608571443.655,-0.01298632897333826,19.8
1608571443.686,-0.022689661431891266,19.8
1608571443.735,-0.027745706204979972,19.8
1608571443.755,-0.02760250352753611,19.8
1608571443.790,-0.024790192256512533,19.8
1608571443.821,-0.032841229144442256,19.8
1608571443.854,-0.03750126785469108,19.8
1608571443.890,-0.03248624942842101,19.8
1608571443.919,-0.040223048400325485,19.8
1608571443.953,-0.04950392365585752,19.8
1608571444.002,-0.045640870118619344,19.8
1608571444.021,-0.04424439407411131,19.8
1608571444.056,-0.047852283008681426,19.8
1608571444.088,-0.05034986563614682,19.8
1608571444.120,-0.052155653157946485,19.8
1608571444.161,-0.06582762462130454,19.8
1608571444.190,-0.06914832337780301,19.8
1608571444.226,-0.07321578994554749,19.8
1608571444.258,-0.06814741648449273,19.8
1608571444.292,-0.05870157519822349,19.8
1608571444.346,-0.06400154234391021,19.8
1608571444.373,-0.06884294275040742,19.8
1608571444.389,-0.07535537838409316,19.8
1608571444.423,-0.0685743216083871,19.8
1608571444.456,-0.08145839587149294,19.8
1608571444.488,-0.07519975237208648,19.8
1608571444.536,-0.07264853840530407,19.8
1608571444.576,-0.08464167208374547,19.8
1608571444.592,-0.09441469349393973,19.8
1608571444.623,-0.09142471627992277,19.8
1608571444.656,-0.10725560885319146,19.8
1608571444.695,-0.1354309734865431,19.8
1608571444.725,-0.14857075949107762,19.8
1608571444.758,-0.17223270825917902,19.8
1608571444.794,-0.2310610953857146,19.8
1608571444.827,-0.26929426529163886,19.8
1608571444.856,-0.3246818346551423,19.8
1608571444.889,-0.3891792868340246,19.8
1608571444.923,-0.44978855728393696,19.8
1608571444.953,-0.522374568228309,19.8
1608571444.990,-0.5421541053558417,19.8
1608571445.024,-0.5451586607823196,19.8
1608571445.056,-0.5314122688077926,19.8
1608571445.086,-0.5423183121818015,19.8
1608571445.131,-0.5511297346989436,19.8
1608571445.160,-0.5481519971540666,19.8
1608571445.197,-0.5474951719679476,19.8
1608571445.229,-0.5499443858739171,19.8
1608571445.260,-0.5474424287187253,19.8
1608571445.286,-0.5498825904391256,19.8
1608571445.331,-0.5468889891729372,19.8
1608571445.365,-0.5537425802900271,19.8
1608571445.396,-0.5549014548330132,19.8
1608571445.430,-0.541074811627341,19.8
1608571445.467,-0.5496388968290628,19.8
1608571445.502,-0.5501906801003579,19.8
1608571445.547,-0.553189519896389,19.8
1608571445.564,-0.5478496815525228,19.8
1608571445.591,-0.546308408452144,19.8
1608571445.631,-0.5452265501895573,19.8
1608571445.667,-0.5464114290553432,19.8
1608571445.697,-0.5549904281919411,19.8
1608571445.726,-0.5544606842466682,19.8
1608571445.762,-0.5537473164028026,19.8
1608571445.797,-0.5393633168121832,19.8
1608571445.832,-0.5485822822411303,19.8
1608571445.865,-0.5529931105818827,19.8
1608571445.895,-0.5500219817785578,19.8
1608571445.940,-0.5510038413451891,19.8
1608571445.961,-0.5525716593720209,19.8
1608571445.993,-0.5433194048762726,19.8
1608571446.026,-0.5545585034288484,19.8
1608571446.060,-0.5584386311103421,19.8
1608571446.097,-0.5475220763052312,19.8
1608571446.129,-0.5570081405686641,19.8
1608571446.179,-0.556502918826429,19.8
1608571446.194,-0.5566618764955117,19.8
1608571446.228,-0.557796315122812,19.8
1608571446.267,-0.5630611371236912,19.8
1608571446.300,-0.5553845076759004,19.8
1608571446.331,-0.5570579967049448,19.8
1608571446.364,-0.5428541131237349,19.8
1608571446.401,-0.5460934672338678,19.8
1608571446.434,-0.5633470966554794,19.8
1608571446.468,-0.5532976953950145,19.8
1608571446.501,-0.5574424063723201,19.8
1608571446.541,-0.5487878498581035,19.8
1608571446.571,-0.5617868192892677,19.8
1608571446.601,-0.5569516181669943,19.8
1608571446.637,-0.5549023049124223,19.8
1608571446.668,-0.5435240150775985,19.8
1608571446.722,-0.5621531082109625,19.8
1608571446.736,-0.5554559855817767,19.8
1608571446.767,-0.553184380359612,19.8
1608571446.795,-0.5426539681880097,19.8
1608571446.853,-0.5596697964933707,19.8
1608571446.866,-0.5658900446987456,19.8
1608571446.905,-0.5556878202136142,19.8
1608571446.930,-0.5579377046614072,19.8
1608571446.967,-0.5582529939028427,19.8
1608571446.999,-0.5509565592607193,19.8
1608571447.037,-0.5598786496111172,19.8
1608571447.071,-0.5623518136071616,19.8
1608571447.101,-0.5653799234549154,19.8
1608571447.135,-0.5632131300179652,19.8
1608571447.170,-0.5580219929512622,19.8
1608571447.202,-0.5612336851626121,19.8
1608571447.229,-0.5606891798627065,19.8
1608571447.270,-0.5626012564117158,19.8
1608571447.303,-0.5649180933439852,19.8
1608571447.346,-0.5651507845710254,19.8
1608571447.396,-0.5675826637304009,19.8
1608571447.421,-0.5633327703378256,19.8
1608571447.442,-0.5753997604505281,19.8
1608571447.474,-0.5724235748391246,19.8
1608571447.504,-0.5677280133849476,19.8
1608571447.536,-0.5721416699334834,19.8
1608571447.573,-0.5805777355173874,19.8
1608571447.611,-0.575921119454829,19.8
1608571447.640,-0.5721100418193708,19.8
1608571447.677,-0.5816732341496318,19.8
1608571447.709,-0.5844216117578301,19.8
1608571447.739,-0.5819025780660287,19.8
1608571447.775,-0.5744136121596983,19.8
1608571447.806,-0.5867679179716758,19.8
1608571447.839,-0.5881181512417777,19.8
1608571447.877,-0.5774271581925211,19.8
1608571447.902,-0.5806688681367725,19.8
1608571447.938,-0.5812191306032852,19.8
1608571447.968,-0.5819484561774761,19.8
1608571448.004,-0.5975673637116059,19.8
1608571448.038,-0.5935374858233708,19.8
1608571448.072,-0.5990722362187069,19.8
1608571448.114,-0.6088352467765211,19.8
1608571448.139,-0.6044352926908535,19.8
1608571448.169,-0.6142665331489464,19.8
1608571448.207,-0.6189932144018029,19.8
1608571448.237,-0.623682053600199,19.8
1608571448.274,-0.6445182190859704,19.8
1608571448.312,-0.6305733257624753,19.8
1608571448.340,-0.6401180949278868,19.8
1608571448.391,-0.6501697911451739,19.8
1608571448.409,-0.6524062227663855,19.8
1608571448.436,-0.6587901650158474,19.8
1608571448.478,-0.6749706863198418,19.8
1608571448.507,-0.6985156219091379,19.8
1608571448.539,-0.7157267830413101,19.8
1608571448.579,-0.7398321247800873,19.8
1608571448.610,-0.7758183980430179,19.8
1608571448.641,-0.8021724358403305,19.8
1608571448.678,-0.8229565872092295,19.8
1608571448.712,-0.8414053152068331,19.8
1608571448.747,-0.8374515331077286,19.8
1608571448.780,-0.8379332209228325,19.8
1608571448.816,-0.840111271475288,19.8
1608571448.845,-0.8404812735038371,19.8
1608571448.882,-0.839027996659643,19.8
1608571448.914,-0.8503641503016939,19.8
1608571448.946,-0.8450083033298088,19.8
1608571448.983,-0.842207697623994,19.8
1608571449.016,-0.8482895033094128,19.8
1608571449.050,-0.8389520121281975,19.8
1608571449.079,-0.8396904776366482,19.8
1608571449.117,-0.8475562143448647,19.8
1608571449.147,-0.831784448976883,19.8
1608571449.184,-0.8318860060415624,19.8
1608571449.208,-0.8379667900247499,19.8
1608571449.246,-0.8403528727916276,19.8
1608571449.276,-0.8449170443958673,19.8
1608571449.320,-0.8462213708152951,19.8
1608571449.348,-0.8467439766466107,19.8
1608571449.384,-0.8439363001343889,19.8
1608571449.416,-0.8424833965164177,19.8
1608571449.455,-0.8409555089834418,19.8
