time,orientation of object,interval of finger
1608571236.740,-0.03617145142389426,19.1
1608571236.766,-0.02539426550971542,19.1
1608571236.782,-0.029708803881978375,19.1
1608571236.821,-0.02156473833791033,19.1
1608571236.845,-0.005135543692312131,19.1
1608571236.885,-0.028818324537326846,19.1
1608571236.917,-0.030527805693457217,19.1
1608571236.952,-0.04636022717022071,19.1
1608571236.982,-0.03533302062849079,19.1
1608571237.019,-0.026256828028126303,19.1
1608571237.049,-0.04578273502113205,19.1
1608571237.079,-0.03717618639475774,19.1
1608571237.116,-0.03753506543628352,19.1
1608571237.152,-0.0196156450908628,19.1
1608571237.181,-0.04279928957945983,19.1
1608571237.213,-0.023113336027701072,19.1
1608571237.255,-0.028335062276427472,19.1
1608571237.292,-0.015962470561559087,19.1
1608571237.312,-0.02230342484092672,19.1
1608571237.346,-0.03589854459824473,19.1
1608571237.392,-0.018615733688914136,19.1
1608571237.419,-0.023441808314956285,19.1
1608571237.446,-0.026483101590541062,19.1
1608571237.484,-0.03567490757041987,19.1
1608571237.538,-0.029448448565195084,19.1
1608571237.554,-0.040402159434613685,19.1
1608571237.587,-0.031579990711375176,19.1
1608571237.621,-0.02848491291199348,19.1
1608571237.652,-0.013725682973271165,19.1
1608571237.685,-0.025778539937895632,19.1
1608571237.721,-0.027410749523123158,19.1
1608571237.758,-0.023751593522236183,19.1
1608571237.784,-0.034150486202866356,19.1
1608571237.818,-0.011081020433157934,19.1
1608571237.854,-0.022383846878412262,19.1
1608571237.892,-0.03264598320669851,19.1
1608571237.921,-0.028534548872353533,19.1
1608571237.959,-0.037977591046398036,19.1
1608571237.995,-0.029598141563558236,19.1
1608571238.021,-0.02600865313850334,19.1
1608571238.055,-0.01711541318593401,19.1
1608571238.085,-0.026213055541387576,19.1
1608571238.122,-0.04010652733637868,19.1
1608571238.158,-0.022169290476031035,19.1
1608571238.186,-0.02126634369064973,19.1
1608571238.223,-0.01798004791489451,19.1
1608571238.254,-0.018778126975566977,19.1
1608571238.286,-0.02393069360679651,19.1
1608571238.320,-0.027985382456333145,19.1
1608571238.349,-0.01470759123626634,19.1
1608571238.389,-0.022592201025671325,19.1
1608571238.420,-0.015244507856448625,19.1
1608571238.461,-0.008046553311582131,19.1
1608571238.488,-0.036649353452980316,19.1
1608571238.522,-0.015835367685383416,19.1
1608571238.550,-0.01930927169806258,19.1
1608571238.592,-0.011051665407107263,19.1
1608571238.626,-0.029745858116093222,19.1
1608571238.655,-0.0199090688792753,19.1
1608571238.688,-0.036078141073588095,19.1
1608571238.719,-0.04956761473722997,19.1
1608571238.756,-0.03378530314391301,19.1
1608571238.803,-0.022263138576624597,19.1
1608571238.827,-0.03429342986274071,19.1
1608571238.859,-0.020903877241058758,19.1
1608571238.893,-0.033102839396692146,19.1
1608571238.924,-0.03068388318395859,19.1
1608571238.956,-0.019953079048636368,19.1
1608571238.981,-0.042403801085038204,19.1
1608571239.028,-0.03520312723604516,19.1
1608571239.065,-0.03256181795592683,19.1
1608571239.096,-0.029808236497731774,19.1
1608571239.123,-0.04016982510055608,19.1
1608571239.164,-0.035770460123659954,19.1
1608571239.192,-0.0418077733289728,19.1
1608571239.229,-0.026167737595514776,19.1
1608571239.256,-0.03407193089323054,19.1
1608571239.295,-0.050393503575220815,19.1
1608571239.328,-0.031316375729858875,19.1
1608571239.374,-0.025862409475495618,19.1
1608571239.428,-0.03389309501996316,19.1
1608571239.470,-0.052846457234588355,19.1
1608571239.536,-0.05579118474388179,19.1
1608571239.577,-0.057170243227970916,19.1
1608571239.614,-0.03863305542577288,19.1
1608571239.655,-0.0345846517644941,19.1
1608571239.693,-0.0396615015663792,19.1
1608571239.722,-0.04400244674643597,19.1
1608571239.753,-0.04137868086745344,19.1
1608571239.780,-0.04345387947356232,19.1
1608571239.798,-0.05069133694919091,19.1
1608571239.830,-0.028495205097957787,19.1
1608571239.866,-0.055281620664290224,19.1
1608571239.902,-0.04249225461587166,19.1
1608571239.947,-0.03546236125710932,19.1
1608571239.966,-0.058811929664192866,19.1
1608571239.997,-0.04602147681952539,19.1
1608571240.032,-0.06234213273112652,19.1
1608571240.068,-0.0495833008000718,19.1
1608571240.107,-0.04782727104204896,19.1
1608571240.129,-0.04680558693791217,19.1
1608571240.165,-0.05537928593160604,19.1
1608571240.199,-0.03362287480067018,19.1
1608571240.230,-0.046263575979459924,19.1
1608571240.276,-0.0515690191479445,19.1
1608571240.295,-0.05523668741460794,19.1
1608571240.339,-0.052389803914110245,19.1
1608571240.366,-0.045236723910429814,19.1
1608571240.396,-0.05120198196627574,19.1
1608571240.437,-0.059426749929562685,19.1
1608571240.466,-0.04465999836889155,19.1
1608571240.501,-0.06390002005956245,19.1
1608571240.538,-0.06806218833655407,19.1
1608571240.567,-0.04428365271249795,19.1
1608571240.604,-0.03657731201378689,19.1
1608571240.637,-0.05259612801640135,19.1
1608571240.671,-0.04914847754644765,19.1
1608571240.708,-0.06634637410831995,19.1
1608571240.746,-0.07347440736998953,19.1
1608571240.763,-0.06419147865206268,19.1
1608571240.800,-0.08019172517627512,19.1
1608571240.831,-0.05758628711715716,19.1
1608571240.874,-0.07410283216547166,19.1
1608571240.895,-0.0466416003212112,19.1
1608571240.931,-0.07826972784913301,19.1
1608571240.964,-0.06283582721312768,19.1
1608571241.002,-0.06007051698872575,19.1
1608571241.041,-0.06705723104387915,19.1
1608571241.071,-0.05701356285544761,19.1
1608571241.104,-0.06056920239045655,19.1
1608571241.138,-0.07078919237559647,19.1
1608571241.172,-0.06381038626663861,19.1
1608571241.204,-0.0687338802815293,19.1
1608571241.240,-0.06802999040355971,19.1
1608571241.269,-0.07290838113190069,19.1
1608571241.309,-0.052431580096248244,19.1
1608571241.339,-0.06562942449634783,19.1
1608571241.374,-0.06874377793815283,19.1
1608571241.405,-0.06946372363278824,19.1
1608571241.441,-0.06408996975983144,19.1
1608571241.475,-0.04959459852109233,19.1
1608571241.509,-0.05300644660263014,19.1
1608571241.542,-0.06973771960142744,19.1
1608571241.579,-0.08720882726342812,19.1
1608571241.603,-0.07589754652062362,19.1
1608571241.633,-0.07111946712407266,19.1
1608571241.673,-0.06284809699375912,19.1
1608571241.709,-0.06151122893849563,19.1
1608571241.739,-0.06188690046023586,19.1
1608571241.776,-0.08046829191684413,19.1
1608571241.812,-0.08112816696004697,19.1
1608571241.842,-0.07660852241970001,19.1
1608571241.873,-0.06768026539102852,19.1
1608571241.908,-0.06827295855890943,19.1
1608571241.944,-0.06950870817417265,19.1
1608571241.975,-0.07458739366098498,19.1
1608571242.012,-0.06859416546326394,19.1
1608571242.044,-0.06233155372659993,19.1
1608571242.078,-0.08260818920368689,19.1
1608571242.106,-0.06838395018202068,19.1
1608571242.142,-0.06695489909152613,19.1
1608571242.172,-0.07158745502597426,19.1
1608571242.211,-0.06996499698847528,19.1
1608571242.240,-0.06957468323513079,19.1
1608571242.279,-0.0820327503480712,19.1
1608571242.305,-0.07845969897552194,19.1
1608571242.339,-0.06852085725539198,19.1
1608571242.380,-0.07838385737172024,19.1
1608571242.411,-0.08635475264513119,19.1
1608571242.444,-0.08167237272328659,19.1
1608571242.468,-0.07938193864861737,19.1
1608571242.513,-0.06512655411417201,19.1
1608571242.547,-0.07290429776705859,19.1
1608571242.580,-0.07162229919550592,19.1
1608571242.610,-0.08266572199056427,19.1
1608571242.651,-0.07667509383257268,19.1
1608571242.680,-0.08072269616995453,19.1
1608571242.714,-0.08244192373606898,19.1
1608571242.760,-0.085237768372464,19.1
1608571242.784,-0.0752565849895921,19.1
1608571242.817,-0.07979734108791242,19.1
1608571242.848,-0.09655648278880127,19.1
1608571242.881,-0.08625295438041952,19.1
1608571242.909,-0.0958813889188696,19.1
1608571242.950,-0.08636231514585166,19.1
1608571242.981,-0.07993075066692244,19.1
1608571243.007,-0.09650136310618164,19.1
1608571243.048,-0.09583524579776816,19.1
1608571243.076,-0.08510377755625097,19.1
1608571243.113,-0.0953009344508712,19.1
1608571243.150,-0.0784704836888523,19.1
1608571243.180,-0.09039025741124547,19.1
1608571243.213,-0.07864891832966618,19.1
1608571243.252,-0.08823811921516163,19.1
1608571243.285,-0.08500854920692032,19.1
1608571243.316,-0.10510884590936692,19.1
1608571243.354,-0.0915830049132691,19.1
1608571243.387,-0.09045059977542942,19.1
1608571243.419,-0.09040917691978571,19.1
1608571243.461,-0.08542998321390707,19.1
1608571243.481,-0.09878873577236194,19.1
1608571243.522,-0.09975759364494387,19.1
1608571243.553,-0.11783895308235054,19.1
1608571243.584,-0.11647825427362839,19.1
1608571243.621,-0.11172244883049497,19.1
1608571243.648,-0.11071961414619673,19.1
1608571243.685,-0.12070790174595056,19.1
1608571243.723,-0.11794453600206249,19.1
1608571243.752,-0.1277834311372064,19.1
1608571243.784,-0.1273869283485171,19.1
1608571243.823,-0.14386616518905573,19.1
1608571243.850,-0.13419340314881895,19.1
1608571243.909,-0.14166857808213926,19.1
1608571243.923,-0.15284963346059766,19.1
1608571243.956,-0.16162397971573522,19.1
1608571243.987,-0.17919818048510808,19.1
1608571244.023,-0.1983031952209863,19.1
1608571244.057,-0.21725887109754752,19.1
1608571244.100,-0.24109754625677984,19.1
1608571244.121,-0.2651969805076304,19.1
1608571244.157,-0.2981041222035234,19.1
1608571244.189,-0.3109388666464362,19.1
1608571244.224,-0.34006658211862884,19.1
