time,orientation of object,interval of finger
1608571026.792,-0.021506861738027908,19.0
1608571026.807,-0.02262124738662718,19.0
1608571026.844,-0.017518586478737563,19.0
1608571026.883,-0.027182343154718482,19.0
1608571026.908,-0.01304798742417949,19.0
1608571026.946,-0.014083249663294054,19.0
1608571026.972,-0.023660831542918773,19.0
1608571027.020,-0.03173604579658089,19.0
1608571027.042,-0.029399564518994017,19.0
1608571027.089,-0.018844612458690103,19.0
1608571027.114,-0.018852055547212365,19.0
1608571027.148,-0.01740725212473105,19.0
1608571027.180,-0.019923693880487918,19.0
1608571027.219,-0.017910976047109336,19.0
1608571027.250,-0.007082142534959707,19.0
1608571027.277,-0.009841259891807279,19.0
1608571027.307,-0.013642288550408685,19.0
1608571027.352,-0.0023520750571939877,19.0
1608571027.383,-0.018293285051601053,19.0
1608571027.410,0.0003087616967502812,19.0
1608571027.449,-0.03271460182953767,19.0
1608571027.481,-0.01696465552631509,19.0
1608571027.518,-0.029766063649043346,19.0
1608571027.551,-0.0169520040666981,19.0
1608571027.580,-0.009366133377068623,19.0
1608571027.615,-0.01077942956054352,19.0
1608571027.642,-0.012705299716995527,19.0
1608571027.685,-0.017822338221449886,19.0
1608571027.713,-0.019389758200901126,19.0
1608571027.753,-0.016789381221137857,19.0
1608571027.771,-0.020590304088313763,19.0
1608571027.815,-0.020673117823387193,19.0
1608571027.843,-0.02108005784771597,19.0
1608571027.871,-0.01279238678097734,19.0
1608571027.907,-0.018899626456193187,19.0
1608571027.939,-0.020573262508633516,19.0
1608571027.991,-0.013839845488422086,19.0
1608571028.007,-0.020044201834556442,19.0
1608571028.054,-0.027477839255824824,19.0
1608571028.077,-0.008415789259727061,19.0
1608571028.106,-0.024746273496961416,19.0
1608571028.139,-0.021273019526757534,19.0
1608571028.187,-0.021623341339022623,19.0
1608571028.212,-0.013065225429499944,19.0
1608571028.241,-0.01702034171625445,19.0
1608571028.273,-0.02135116697302836,19.0
1608571028.307,-0.0225393382491589,19.0
1608571028.344,0.0009477903378704073,19.0
1608571028.373,-0.021179966375046478,19.0
1608571028.406,-0.006905047336193478,19.0
1608571028.444,-0.016899127070922067,19.0
1608571028.472,-0.018510889921914974,19.0
1608571028.505,-0.008427383740739652,19.0
1608571028.541,-0.02637073026695361,19.0
1608571028.571,-0.022958466115770296,19.0
1608571028.604,-0.015037670743974597,19.0
1608571028.640,-0.007368628763687601,19.0
