time,vel_0,vel_1,vel_2,vel_3,MvS_l[00],MvS_l[10],MvS_l[20],MvS_l[01],MvS_l[11],MvS_l[21],MvS_l[02],MvS_l[12],MvS_l[22],MvS_r[00],MvS_r[10],MvS_r[20],MvS_r[01],MvS_r[11],MvS_r[21],MvS_r[02],MvS_r[12],MvS_r[22]
1601308710.654,0,0,0,0,0.0,0.0,0.0,0.0,0.02995282970368862,0.0,0.01497641485184431,0.0,0.0,0.0,0.01497641485184431,0.0,0.0,0.02995282970368862,0.0,0.0,0.0,0.0
1601308710.823,0,0,0,0,0.01497641485184431,0.0,0.01497641485184431,0.0,0.02995282970368862,0.01497641485184431,0.0,0.0,0.0,0.0,0.07488207519054413,0.0,0.0,0.0,0.0,0.0,0.01497641485184431,0.0
1601308710.942,0,0,0,0,0.0,0.0,0.0,0.0,0.02995282970368862,0.0,0.0,0.0,0.0,0.0,0.01497641485184431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601308711.136,0,0,0,0,0.0,0.01497641485184431,0.0,0.01497641485184431,0.01497641485184431,0.02995282970368862,0.0,0.0,0.0,0.0,0.01497641485184431,0.02995282970368862,0.02995282970368862,0.04492924362421036,0.0,0.0,0.0,0.0
1601308711.201,0,0,0,0,0.01497641485184431,0.01497641485184431,0.01497641485184431,0.0,0.01497641485184431,0.0,0.01497641485184431,0.0,0.0,0.02995282970368862,0.04492924362421036,0.0,0.0,0.04492924362421036,0.0,0.01497641485184431,0.0,0.0
1601308711.335,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02995282970368862,0.0,0.0,0.0,0.0,0.0,0.0,0.02995282970368862,0.0
1601308711.394,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.04492924362421036,0.01497641485184431,0.0,0.0,0.01497641485184431,0.0,0.0,0.01497641485184431,0.0,0.0,0.0,0.0
1601308711.519,0,0,0,0,0.0,0.0,0.01497641485184431,0.02995282970368862,0.0,0.0,0.0,0.0,0.0,0.01497641485184431,0.02995282970368862,0.0,0.0,0.01497641485184431,0.0,0.0,0.0,0.0
1601308711.578,0,0,0,0,0.0,0.0,0.0,0.0,0.01497641485184431,0.0,0.0,0.02995282970368862,0.08985848724842072,0.01497641485184431,0.01497641485184431,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601308711.765,-8,0,-7,0,0.01497641485184431,0.0,0.0,1.0333726406097412,0.5391509532928467,0.0,0.9734669923782349,0.17971697449684143,0.01497641485184431,0.0,0.02995282970368862,0.0,0.1946934014558792,0.08985848724842072,0.0,0.01497641485184431,0.13478773832321167,0.0
1601308711.829,-8,0,-8,0,0.7038915157318115,2.0068395137786865,0.07488207519054413,5.017098903656006,6.320047378540039,0.05990565940737724,2.3662736415863037,1.3329010009765625,0.13478773832321167,0.3294811248779297,2.8005895614624023,0.0,1.0783019065856934,1.6474056243896484,0.02995282970368862,0.02995282970368862,0.5241745114326477,0.0
1601308711.889,-9,0,-9,0,0.0,1.4527122974395752,0.0,0.46426886320114136,2.875471591949463,0.02995282970368862,0.35943394899368286,0.8985849022865295,0.02995282970368862,0.44929245114326477,2.0667452812194824,0.01497641485184431,0.02995282970368862,0.404363214969635,0.02995282970368862,0.0,0.2096698135137558,0.0
