time,vel_0,vel_1,vel_2,vel_3,MvS_l[00],MvS_l[10],MvS_l[20],MvS_l[01],MvS_l[11],MvS_l[21],MvS_l[02],MvS_l[12],MvS_l[22],MvS_r[00],MvS_r[10],MvS_r[20],MvS_r[01],MvS_r[11],MvS_r[21],MvS_r[02],MvS_r[12],MvS_r[22]
1601309246.957,0,0,0,0,0.04492924362421036,0.04492924362421036,0.0,0.01497641485184431,0.05990565940737724,0.0,0.0,0.05990565940737724,0.0,0.07488207519054413,0.01497641485184431,0.0,0.01497641485184431,0.0,0.0,0.0,0.02995282970368862,0.0
1601309247.070,0,0,0,0,0.02995282970368862,0.02995282970368862,0.02995282970368862,0.04492924362421036,0.04492924362421036,0.02995282970368862,0.04492924362421036,0.0,0.01497641485184431,0.01497641485184431,0.0,0.0,0.02995282970368862,0.04492924362421036,0.0,0.0,0.0,0.0
1601309247.220,0,0,0,0,0.02995282970368862,0.05990565940737724,0.01497641485184431,0.05990565940737724,0.01497641485184431,0.01497641485184431,0.02995282970368862,0.04492924362421036,0.0,0.02995282970368862,0.01497641485184431,0.0,0.0,0.02995282970368862,0.0,0.02995282970368862,0.01497641485184431,0.01497641485184431
1601309247.298,0,0,0,0,0.0,0.04492924362421036,0.0,0.04492924362421036,0.0,0.04492924362421036,0.04492924362421036,0.04492924362421036,0.02995282970368862,0.01497641485184431,0.01497641485184431,0.0,0.01497641485184431,0.01497641485184431,0.0,0.01497641485184431,0.01497641485184431,0.0
1601309247.413,0,0,0,0,0.05990565940737724,0.0,0.0,0.0,0.0,0.01497641485184431,0.0,0.04492924362421036,0.0,0.01497641485184431,0.0,0.0,0.04492924362421036,0.01497641485184431,0.0,0.0,0.0,0.01497641485184431
1601309247.477,0,0,0,0,0.0,0.01497641485184431,0.01497641485184431,0.1048349067568779,0.02995282970368862,0.0,0.05990565940737724,0.02995282970368862,0.02995282970368862,0.0,0.07488207519054413,0.01497641485184431,0.04492924362421036,0.0,0.0,0.0,0.0,0.0
1601309247.595,0,0,0,0,0.01497641485184431,0.02995282970368862,0.02995282970368862,0.05990565940737724,0.04492924362421036,0.11981131881475449,0.05990565940737724,0.02995282970368862,0.01497641485184431,0.05990565940737724,0.02995282970368862,0.0,0.01497641485184431,0.01497641485184431,0.0,0.01497641485184431,0.01497641485184431,0.0
1601309247.652,0,0,0,0,0.04492924362421036,0.0,0.0,0.0,0.0,0.01497641485184431,0.02995282970368862,0.02995282970368862,0.04492924362421036,0.0,0.01497641485184431,0.0,0.01497641485184431,0.02995282970368862,0.02995282970368862,0.01497641485184431,0.0,0.0
1601309247.709,0,0,0,0,0.01497641485184431,0.0,0.01497641485184431,0.04492924362421036,0.04492924362421036,0.02995282970368862,0.02995282970368862,0.04492924362421036,0.0,0.01497641485184431,0.02995282970368862,0.0,0.02995282970368862,0.0,0.0,0.0,0.0,0.0
1601309247.765,0,0,0,0,0.02995282970368862,0.01497641485184431,0.01497641485184431,0.01497641485184431,0.01497641485184431,0.0,0.04492924362421036,0.01497641485184431,0.0,0.01497641485184431,0.04492924362421036,0.01497641485184431,0.02995282970368862,0.02995282970368862,0.0,0.0,0.0,0.0
1601309247.888,0,0,0,0,0.04492924362421036,0.01497641485184431,0.0,0.0,0.04492924362421036,0.04492924362421036,0.02995282970368862,0.07488207519054413,0.0,0.02995282970368862,0.01497641485184431,0.01497641485184431,0.0,0.0,0.0,0.02995282970368862,0.01497641485184431,0.01497641485184431
1601309247.949,0,0,0,0,0.02995282970368862,0.02995282970368862,0.0,0.08985848724842072,0.01497641485184431,0.0,0.05990565940737724,0.01497641485184431,0.0,0.0,0.04492924362421036,0.0,0.0,0.0,0.0,0.0,0.02995282970368862,0.0
1601309248.007,-3,0,-1,0,0.04492924362421036,0.0,0.0,0.04492924362421036,0.0,0.0,0.05990565940737724,0.05990565940737724,0.0,0.01497641485184431,0.05990565940737724,0.01497641485184431,0.01497641485184431,0.02995282970368862,0.0,0.02995282970368862,0.0,0.0
1601309248.126,-9,0,-8,0,0.08985848724842072,0.4193396270275116,0.0,2.3213443756103516,2.096698045730591,0.02995282970368862,1.168160319328308,1.2430424690246582,0.0,0.3294811248779297,0.2845518887042999,0.02995282970368862,0.02995282970368862,0.01497641485184431,0.0,0.08985848724842072,0.01497641485184431,0.0
