time,vel_0,vel_1,vel_2,vel_3,MvS_l[00],MvS_l[10],MvS_l[20],MvS_l[01],MvS_l[11],MvS_l[21],MvS_l[02],MvS_l[12],MvS_l[22],MvS_r[00],MvS_r[10],MvS_r[20],MvS_r[01],MvS_r[11],MvS_r[21],MvS_r[02],MvS_r[12],MvS_r[22]
1601313300.123,0,0,0,0,0.01497641485184431,0.0,0.01497641485184431,0.01497641485184431,0.01497641485184431,0.0,0.0,0.01497641485184431,0.0,0.0,0.0,0.02995282970368862,0.0,0.01497641485184431,0.0,0.0,0.0,0.0
1601313300.233,0,0,0,0,0.0,0.0,0.0,0.0,0.01497641485184431,0.01497641485184431,0.0,0.0,0.01497641485184431,0.0,0.0,0.0,0.02995282970368862,0.0,0.01497641485184431,0.0,0.0,0.0
1601313300.292,0,0,0,0,0.0,0.04492924362421036,0.01497641485184431,0.01497641485184431,0.01497641485184431,0.01497641485184431,0.04492924362421036,0.0,0.0,0.01497641485184431,0.0,0.04492924362421036,0.0,0.01497641485184431,0.0,0.01497641485184431,0.0,0.0
1601313300.402,0,0,0,0,0.01497641485184431,0.01497641485184431,0.04492924362421036,0.01497641485184431,0.0,0.0,0.02995282970368862,0.01497641485184431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01497641485184431,0.0
1601313300.524,0,0,0,0,0.0,0.0,0.04492924362421036,0.02995282970368862,0.0,0.0,0.02995282970368862,0.0,0.01497641485184431,0.01497641485184431,0.0,0.0,0.01497641485184431,0.0,0.0,0.0,0.0,0.0
1601313300.657,0,0,0,0,0.0,0.0,0.0,0.01497641485184431,0.0,0.0,0.0,0.02995282970368862,0.0,0.0,0.0,0.01497641485184431,0.0,0.0,0.0,0.01497641485184431,0.01497641485184431,0.0
1601313300.719,0,0,0,0,0.0,0.0,0.0,0.02995282970368862,0.01497641485184431,0.01497641485184431,0.01497641485184431,0.04492924362421036,0.01497641485184431,0.01497641485184431,0.0,0.0,0.0,0.0,0.01497641485184431,0.01497641485184431,0.0,0.0
1601313300.783,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.01497641485184431,0.01497641485184431,0.02995282970368862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601313300.948,-7,0,-5,0,0.01497641485184431,0.0,0.01497641485184431,0.0,0.01497641485184431,0.01497641485184431,0.0,0.0,0.01497641485184431,0.0,0.0,0.0,0.0,0.0,0.01497641485184431,0.0,0.0,0.0
1601313300.999,-9,0,-8,0,0.02995282970368862,0.05990565940737724,0.0,1.0633255243301392,2.8455188274383545,0.01497641485184431,0.3893868029117584,2.291391611099243,0.01497641485184431,0.35943394899368286,1.4527122974395752,0.01497641485184431,0.01497641485184431,1.6923348903656006,0.0,0.0,0.7488207817077637,0.0
1601313301.115,-11,0,-11,0,0.07488207519054413,0.16474056243896484,0.0,0.49422168731689453,0.8237028121948242,0.01497641485184431,0.1048349067568779,0.47924527525901794,0.0,0.0,2.291391611099243,0.0,1.3928066492080688,2.0068395137786865,0.01497641485184431,0.0,1.2130895853042603,0.01497641485184431
1601313301.177,-12,0,-11,0,0.0,0.02995282970368862,0.0,0.11981131881475449,0.16474056243896484,0.02995282970368862,0.08985848724842072,0.35943394899368286,0.0,0.0,0.14976415038108826,0.01497641485184431,0.02995282970368862,0.4343160390853882,0.0,0.0,0.11981131881475449,0.0
1601313301.239,-12,0,-11,0,0.2096698135137558,0.01497641485184431,0.0,0.37441039085388184,0.3145047128200531,0.07488207519054413,0.07488207519054413,0.37441039085388184,0.01497641485184431,0.07488207519054413,0.04492924362421036,0.04492924362421036,0.0,0.1048349067568779,0.0,0.0,0.05990565940737724,0.0
1601313301.304,-11,0,-11,0,0.08985848724842072,0.0,0.0,0.05990565940737724,0.1946934014558792,0.02995282970368862,0.02995282970368862,0.11981131881475449,0.04492924362421036,0.13478773832321167,0.9884433746337891,0.01497641485184431,0.0,0.16474056243896484,0.0,0.01497641485184431,0.02995282970368862,0.0
1601313301.359,-11,0,-10,0,0.08985848724842072,0.0,0.04492924362421036,0.08985848724842072,0.05990565940737724,0.04492924362421036,0.05990565940737724,0.05990565940737724,0.01497641485184431,0.05990565940737724,0.8836085200309753,0.0,0.01497641485184431,0.1946934014558792,0.01497641485184431,0.01497641485184431,0.1048349067568779,0.0
1601313301.422,-11,0,-10,0,0.01497641485184431,0.05990565940737724,0.0,0.04492924362421036,0.0,0.04492924362421036,0.01497641485184431,0.05990565940737724,0.0,0.04492924362421036,0.14976415038108826,0.0,0.04492924362421036,0.47924527525901794,0.0,0.0,0.01497641485184431,0.0
1601313301.485,-11,0,-10,0,0.01497641485184431,0.01497641485184431,0.01497641485184431,0.05990565940737724,0.1946934014558792,0.04492924362421036,0.01497641485184431,0.1048349067568779,0.05990565940737724,0.01497641485184431,0.0,0.0,0.0,0.614033043384552,0.0,0.0,0.01497641485184431,0.01497641485184431
1601313301.551,-11,0,-10,0,0.0,0.01497641485184431,0.0,0.3893868029117584,0.01497641485184431,0.0,0.02995282970368862,0.02995282970368862,0.01497641485184431,0.0,0.0,0.01497641485184431,0.0,0.2845518887042999,0.0,0.0,0.0,0.0
1601313301.683,-11,0,-10,0,0.01497641485184431,0.0,0.0,0.08985848724842072,0.04492924362421036,0.01497641485184431,0.02995282970368862,0.0,0.0,0.0,0.0,0.01497641485184431,0.0,0.01497641485184431,0.0,0.0,0.0,0.0
