time,vel_0,vel_1,vel_2,vel_3,MvS_l[00],MvS_l[10],MvS_l[20],MvS_l[01],MvS_l[11],MvS_l[21],MvS_l[02],MvS_l[12],MvS_l[22],MvS_r[00],MvS_r[10],MvS_r[20],MvS_r[01],MvS_r[11],MvS_r[21],MvS_r[02],MvS_r[12],MvS_r[22]
1601313020.066,0,0,0,0,0.01497641485184431,0.07488207519054413,0.02995282970368862,0.05990565940737724,0.02995282970368862,0.0,0.01497641485184431,0.02995282970368862,0.0,0.0,0.0,0.02995282970368862,0.01497641485184431,0.01497641485184431,0.0,0.01497641485184431,0.01497641485184431,0.0
1601313020.187,0,0,0,0,0.0,0.07488207519054413,0.0,0.01497641485184431,0.05990565940737724,0.02995282970368862,0.01497641485184431,0.0,0.02995282970368862,0.04492924362421036,0.0,0.02995282970368862,0.0,0.02995282970368862,0.0,0.0,0.0,0.0
1601313020.244,0,0,0,0,0.0,0.02995282970368862,0.02995282970368862,0.01497641485184431,0.02995282970368862,0.02995282970368862,0.0,0.05990565940737724,0.0,0.01497641485184431,0.02995282970368862,0.01497641485184431,0.01497641485184431,0.0,0.0,0.0,0.0,0.0
1601313020.305,0,0,0,0,0.01497641485184431,0.07488207519054413,0.0,0.02995282970368862,0.02995282970368862,0.01497641485184431,0.02995282970368862,0.01497641485184431,0.0,0.01497641485184431,0.0,0.02995282970368862,0.0,0.01497641485184431,0.0,0.0,0.0,0.02995282970368862
1601313020.430,0,0,0,0,0.01497641485184431,0.02995282970368862,0.0,0.02995282970368862,0.04492924362421036,0.0,0.04492924362421036,0.0,0.0,0.01497641485184431,0.01497641485184431,0.02995282970368862,0.01497641485184431,0.04492924362421036,0.0,0.0,0.0,0.0
1601313020.484,0,0,0,0,0.0,0.0,0.01497641485184431,0.0,0.05990565940737724,0.0,0.05990565940737724,0.04492924362421036,0.01497641485184431,0.0,0.0,0.0,0.01497641485184431,0.04492924362421036,0.01497641485184431,0.0,0.0,0.0
1601313020.611,0,0,0,0,0.0,0.14976415038108826,0.0,0.0,0.05990565940737724,0.02995282970368862,0.0,0.01497641485184431,0.01497641485184431,0.01497641485184431,0.01497641485184431,0.0,0.0,0.0,0.0,0.0,0.01497641485184431,0.0
1601313020.677,0,0,0,0,0.0,0.04492924362421036,0.01497641485184431,0.02995282970368862,0.01497641485184431,0.01497641485184431,0.0,0.01497641485184431,0.0,0.0,0.01497641485184431,0.0,0.0,0.02995282970368862,0.04492924362421036,0.01497641485184431,0.01497641485184431,0.0
1601313020.783,0,0,0,0,0.0,0.02995282970368862,0.01497641485184431,0.0,0.07488207519054413,0.01497641485184431,0.01497641485184431,0.0,0.0,0.02995282970368862,0.01497641485184431,0.02995282970368862,0.0,0.0,0.0,0.0,0.05990565940737724,0.01497641485184431
1601313020.836,0,0,0,0,0.0,0.04492924362421036,0.01497641485184431,0.0,0.02995282970368862,0.04492924362421036,0.0,0.0,0.01497641485184431,0.0,0.01497641485184431,0.01497641485184431,0.0,0.0,0.01497641485184431,0.0,0.02995282970368862,0.01497641485184431
1601313020.999,0,0,0,0,0.0,0.04492924362421036,0.01497641485184431,0.05990565940737724,0.02995282970368862,0.0,0.01497641485184431,0.05990565940737724,0.01497641485184431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601313021.067,-1,0,-3,0,0.0,0.02995282970368862,0.01497641485184431,0.04492924362421036,0.02995282970368862,0.0,0.02995282970368862,0.0,0.02995282970368862,0.0,0.0,0.0,0.0,0.02995282970368862,0.01497641485184431,0.0,0.0,0.0
1601313021.145,-5,0,-6,0,4.37311315536499,57.43455123901367,6.06544828414917,6.949056625366211,76.5145034790039,5.706014156341553,20.68242835998535,74.8221664428711,14.751769065856934,6.993985652923584,44.28525924682617,24.875825881958008,10.049174308776855,28.44021224975586,29.458608627319336,10.633255004882812,55.71226501464844,35.80860900878906
1601313021.257,-8,0,-8,0,35.1496467590332,39.582664489746094,38.56427001953125,18.495872497558594,43.476531982421875,33.637027740478516,26.193750381469727,54.46922302246094,12.445401191711426,12.430424690246582,26.5382080078125,44.2253532409668,13.553655624389648,70.94327545166016,52.74693298339844,27.931015014648438,97.67617797851562,10.648231506347656
1601313021.314,-9,0,-9,0,6.589622497558594,16.099645614624023,10.33372688293457,6.934080123901367,33.02299499511719,7.038915157318115,2.4411556720733643,16.848466873168945,0.9135613441467285,4.388089656829834,43.955780029296875,27.092334747314453,12.310613632202148,48.224056243896484,29.35377311706543,4.328184127807617,24.47146224975586,6.320047378540039
1601313021.369,-10,0,-10,0,0.08985848724842072,4.732547283172607,0.01497641485184431,0.9285377264022827,6.200235843658447,0.02995282970368862,0.7488207817077637,1.8870283365249634,0.0,1.0633255243301392,8.8211088180542,2.411202907562256,3.1150944232940674,15.275943756103516,0.0,1.7821934223175049,14.542098999023438,0.0
1601313021.431,-11,0,-10,0,0.0,0.0,0.0,0.05990565940737724,0.04492924362421036,0.0,0.05990565940737724,0.01497641485184431,0.02995282970368862,1.1082546710968018,4.642688751220703,0.47924527525901794,2.935377359390259,11.876296997070312,0.0,0.8686320781707764,12.535259246826172,0.0
1601313021.545,-11,0,-10,0,0.0,0.01497641485184431,0.0,0.04492924362421036,0.07488207519054413,0.0,0.07488207519054413,0.02995282970368862,0.0,0.46426886320114136,2.7406840324401855,0.04492924362421036,0.3444575369358063,8.910966873168945,0.0,0.22464622557163239,6.964033126831055,0.0
1601313021.602,-11,0,-10,0,0.01497641485184431,0.01497641485184431,0.0,0.01497641485184431,0.04492924362421036,0.01497641485184431,0.14976415038108826,0.0,0.01497641485184431,2.0218160152435303,13.613561630249023,0.07488207519054413,3.5643868446350098,15.875,0.01497641485184431,0.3145047128200531,17.477476119995117,0.01497641485184431
1601313021.719,-11,0,-10,0,0.0,0.07488207519054413,0.0,0.07488207519054413,0.1048349067568779,0.01497641485184431,0.08985848724842072,0.02995282970368862,0.11981131881475449,1.2130895853042603,8.955896377563477,0.37441039085388184,1.9918632507324219,14.602005004882812,0.13478773832321167,0.1946934014558792,17.058135986328125,0.02995282970368862
1601313021.788,-11,0,-10,0,0.0,0.07488207519054413,0.0,0.05990565940737724,0.01497641485184431,0.0,0.04492924362421036,0.01497641485184431,0.0,0.7338443398475647,10.258844375610352,0.11981131881475449,1.7372641563415527,15.06627368927002,0.1048349067568779,0.37441039085388184,17.77700424194336,0.07488207519054413
1601313021.856,-11,0,-10,0,0.0,0.0,0.0,0.04492924362421036,0.02995282970368862,0.0,0.14976415038108826,0.0,0.01497641485184431,0.25459906458854675,12.265684127807617,0.08985848724842072,4.163443565368652,15.275943756103516,0.08985848724842072,0.5541273355484009,17.657194137573242,0.04492924362421036
1601313021.930,-9,0,-7,0,0.02995282970368862,0.04492924362421036,0.0,0.0,0.01497641485184431,0.01497641485184431,0.0,0.02995282970368862,0.02995282970368862,0.3444575369358063,10.33372688293457,0.02995282970368862,5.256721496582031,14.96143913269043,0.25459906458854675,1.0633255243301392,16.504009246826172,0.0
1601313021.993,-4,0,-4,0,0.0,0.0,0.0,0.14976415038108826,0.01497641485184431,0.01497641485184431,0.04492924362421036,0.0,0.01497641485184431,0.05990565940737724,4.70259428024292,0.0,0.80872642993927,7.742806434631348,0.0,0.16474056243896484,5.885731220245361,0.0
1601313022.054,-2,0,-1,0,0.0,0.0,0.0,0.3893868029117584,0.02995282970368862,0.0,0.01497641485184431,0.0,0.0,1.407783031463623,8.506604194641113,0.05990565940737724,4.088561534881592,15.455660820007324,0.05990565940737724,1.153183937072754,11.09752368927002,0.0
1601313022.113,-1,0,-1,0,0.0,0.0,0.0,0.7787736058235168,0.05990565940737724,0.01497641485184431,0.17971697449684143,0.04492924362421036,0.0,0.37441039085388184,3.5643868446350098,0.0,0.584080159664154,4.7774763107299805,0.0,0.01497641485184431,1.4976415634155273,0.0
1601313022.239,0,0,0,0,0.0,0.0,0.0,0.0,0.05990565940737724,0.0,0.02995282970368862,0.01497641485184431,0.0,0.01497641485184431,1.377830147743225,0.01497641485184431,0.02995282970368862,0.7637971639633179,0.0,0.0,0.11981131881475449,0.0
1601313022.305,0,0,0,0,0.0,0.0,0.01497641485184431,0.0,0.01497641485184431,0.0,0.01497641485184431,0.01497641485184431,0.0,0.0,0.17971697449684143,0.01497641485184431,0.01497641485184431,0.07488207519054413,0.0,0.0,0.0,0.0
1601313022.371,0,0,0,0,0.01497641485184431,0.05990565940737724,0.0,0.0,0.05990565940737724,0.0,0.01497641485184431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01497641485184431,0.0
1601313022.507,0,0,0,0,0.02995282970368862,0.01497641485184431,0.0,0.0,0.02995282970368862,0.01497641485184431,0.01497641485184431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601313022.577,0,0,0,0,0.0,0.07488207519054413,0.0,0.02995282970368862,0.02995282970368862,0.0,0.01497641485184431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601313022.638,0,0,0,0,0.0,0.01497641485184431,0.01497641485184431,0.0,0.02995282970368862,0.01497641485184431,0.0,0.01497641485184431,0.01497641485184431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601313022.698,0,0,0,0,0.0,0.01497641485184431,0.01497641485184431,0.0,0.02995282970368862,0.01497641485184431,0.01497641485184431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601313022.765,0,0,0,0,0.0,0.05990565940737724,0.0,0.05990565940737724,0.01497641485184431,0.0,0.0,0.02995282970368862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1601313022.821,0,0,0,0,0.0,0.02995282970368862,0.01497641485184431,0.0,0.02995282970368862,0.01497641485184431,0.0,0.01497641485184431,0.01497641485184431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01497641485184431,0.0
1601313022.941,0,0,2,0,0.04492924362421036,0.01497641485184431,0.0,0.01497641485184431,0.01497641485184431,0.0,0.0,0.01497641485184431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
