/dynamixel_data/header/stamp/secs,/dynamixel_data/header/stamp/nsecs,/dynamixel_data/header/frame_id,/dynamixel_data/header/seq,/dynamixel_data/Vel,/dynamixel_data/Pwm,/dynamixel_data/Pos,/dynamixel_data/Cur,/dynamixel_param/header/stamp/secs,/dynamixel_param/header/stamp/nsecs,/dynamixel_param/header/frame_id,/dynamixel_param/header/seq,/dynamixel_param/interval,/dynamixel_param/trg_pos,/dynamixel_param/fps,/dynamixel_param/surface_pos,/fingervision/fv_filter1_objinfo/d_obj_area,/fingervision/fv_filter1_objinfo/d_obj_center_filtered,/fingervision/fv_filter1_objinfo/fv,/fingervision/fv_filter1_objinfo/obj_area,/fingervision/fv_filter1_objinfo/obj_s,/fingervision/fv_filter1_objinfo/d_obj_orientation_filtered,/fingervision/fv_filter1_objinfo/obj_center,/fingervision/fv_filter1_objinfo/obj_orientation,/fingervision/fv_filter1_objinfo/header/stamp/secs,/fingervision/fv_filter1_objinfo/header/stamp/nsecs,/fingervision/fv_filter1_objinfo/header/frame_id,/fingervision/fv_filter1_objinfo/header/seq,/fingervision/fv_filter1_objinfo/mv_s,/fingervision/fv_filter1_objinfo/obj_area_filtered,/fingervision/fv_filter1_objinfo/d_obj_orientation,/fingervision/fv_filter1_objinfo/d_obj_center,/fingervision/fv_filter1_objinfo/d_obj_area_filtered
1610883522,372699022,,902,40.0,"[2122, 126, 3790, 351]",39.84216275778215,0,0.1278971116284402,"[-0.030387327760767652, 0.24166909147000032]",rh_l,0.029440104166666668,"[0.0, 0.00029640053980983794, 0.0001683649024926126, 0.0, 0.00032185105374082923, 2.2318137780530378e-05, 0.0, 7.635152724105865e-05, 0.0]",0.4581157568169679,"[0.10015953749921017, -0.12308081127187716]",-1.304554995718553,1610883522,370918646,rh_l,198542,"[0.0, 0.0, 0.0, 0.0, 3.9154630940174684e-05, 0.0, 0.0, 0.0, 0.0]",0.031070312500000002,3.493788176680286,"[-0.18289252327880992, 0.9971260530770825]",-0.007406975026946416,1610883522,369837999,,1071,"[0, 0, 0, 0]","[-79, -7, 73, -9]","[1992, 126, 3920, 351]","[-41, 0, 34, 0]"
1610883522,393348932,,903,40.0,"[2122, 126, 3790, 351]",48.770976744186044,0,0.1278971116284402,"[-0.030387327760767652, 0.24166909147000032]",rh_l,0.029440104166666668,"[0.0, 0.00029640053980983794, 0.0001683649024926126, 0.0, 0.00032185105374082923, 2.2318137780530378e-05, 0.0, 7.635152724105865e-05, 0.0]",0.4581157568169679,"[0.10015953749921017, -0.12308081127187716]",-1.304554995718553,1610883522,370918646,rh_l,198542,"[0.0, 0.0, 0.0, 0.0, 3.9154630940174684e-05, 0.0, 0.0, 0.0, 0.0]",0.031070312500000002,3.493788176680286,"[-0.18289252327880992, 0.9971260530770825]",-0.007406975026946416,1610883522,392770051,,1072,"[0, 0, 0, 0]","[472, -7, 73, -9]","[1992, 126, 3920, 351]","[7, 0, -11, 0]"
1610883522,420341968,,904,40.0,"[2122, 126, 3790, 351]",37.18321646084698,0,-0.03439464599519242,"[0.05143327741697738, 0.11946751960663249]",rh_l,0.030546875,"[0.0, 0.0002325784880667925, 0.0001671902573434636, 0.0, 0.00039859412936493754, 3.249834117013961e-05, 0.0, 8.770636486588046e-05, 0.0]",0.5521672099166588,"[0.08465016441359156, -0.09545579101205698]",-1.2751563152904422,1610883522,403097225,rh_l,198543,"[0.0, 0.0, 0.0, 0.0, 0.00011746388190658763, 0.0, 0.0, 0.0, 0.0]",0.03185677083333333,-0.9136102755845987,"[0.4819781844816268, -0.8584909936458095]",-0.014640353214106195,1610883522,419775009,,1073,"[6, 0, -6, 0]","[366, -7, -370, -9]","[2010, 126, 3902, 351]","[-2, 0, -1, 0]"
1610883522,443363904,,905,40.0,"[2122, 126, 3790, 351]",43.64293220956246,0,-0.09596349614372564,"[0.033600386470573326, 0.2465007341233129]",rh_l,0.03358072916666666,"[0.0, 0.00026507684378884733, 0.00016640716057736427, 0.0, 0.00048199345474131405, 3.797998942900449e-05, 0.0, 5.834039984620176e-05, 0.0]",0.7206806180101195,"[0.08791059657674621, -0.10281947598737053]",-1.3165969520038423,1610883522,434711894,rh_l,198544,"[0.0, 3.9154630940174684e-05, 3.9154630940174684e-05, 0.0, 3.900107913068496e-05, 0.0, 0.0, 0.0, 0.0]",0.03203645833333334,1.3108040673587362,"[-0.10313035898476908, 0.23291988207479092]",0.0004336500997881382,1610883522,442368030,,1074,"[21, 0, -21, 0]","[305, -7, -307, -9]","[2027, 126, 3884, 351]","[-6, 0, 0, 0]"
1610883522,466455936,,906,40.0,"[2122, 126, 3790, 351]",43.54054250448973,0,-0.09596349614372564,"[0.033600386470573326, 0.2465007341233129]",rh_l,0.03358072916666666,"[0.0, 0.00026507684378884733, 0.00016640716057736427, 0.0, 0.00048199345474131405, 3.797998942900449e-05, 0.0, 5.834039984620176e-05, 0.0]",0.7206806180101195,"[0.08791059657674621, -0.10281947598737053]",-1.3165969520038423,1610883522,434711894,rh_l,198544,"[0.0, 3.9154630940174684e-05, 3.9154630940174684e-05, 0.0, 3.900107913068496e-05, 0.0, 0.0, 0.0, 0.0]",0.03203645833333334,1.3108040673587362,"[-0.10313035898476908, 0.23291988207479092]",0.0004336500997881382,1610883522,464977025,,1075,"[36, 0, -36, 0]","[249, -7, -251, -9]","[2042, 126, 3870, 351]","[-3, 0, 0, 0]"
1610883522,495502948,,907,40.0,"[2122, 126, 3790, 351]",35.0140997921345,0,-2.90208167191568,"[-0.014042886681124333, -0.19521964673083092]",rh_l,0.17075520833333332,"[9.005564606923144e-06, 0.0006425274186767638, 0.0008119165431708097, 0.0, 0.0018473154632374644, 0.0004318755236454308, 0.0, 0.001229063724167645, 0.00016131706070154905]",0.6343522371413621,"[0.09418669252053422, -0.003812174557179913]",-1.2945889202313174,1610883522,481979509,rh_l,198545,"[0.0, 3.9154630940174684e-05, 0.006146969739347696, 0.0, 0.0004297796403989196, 0.0031690681353211403, 0.0, 0.009034124203026295, 0.0019503611838445067]",0.05927604166666667,-0.4656048707455382,"[-0.13277792720847037, -2.094611742737403]",-0.5679960330017878,1610883522,490771055,,1076,"[41, 0, -41, 0]","[197, -7, -199, -9]","[2056, 126, 3856, 351]","[0, 0, 0, 0]"
1610883522,521384000,,908,40.0,"[2122, 126, 3790, 351]",39.58197518048412,0,-4.333865269874343,"[-0.17902626353490966, -0.7502129982276389]",rh_l,0.281328125,"[3.093215491389856e-05, 0.0006942115724086761, 0.0011139492271468043, 0.0, 0.0018958671716973186, 0.0015152840642258525, 0.000128427185700275, 0.0022181097883731127, 0.0008629679796285927]",0.1946622855332114,"[0.11863668822152573, 0.047929807857605665]",-1.232027664605874,1610883522,507493204,rh_l,198546,"[3.900107913068496e-05, 0.0007812500116415322, 0.033922649919986725, 0.0, 0.0014276852598413825, 0.036426857113838196, 0.002641018247231841, 0.013881928287446499, 0.005564410239458084]",0.10913020833333334,-2.452065670042828,"[-0.9583086926841258, -2.028008189906855]",-1.4476815944601,1610883522,519824028,,1077,"[36, 0, -35, 0]","[148, -7, -155, -9]","[2069, 126, 3844, 351]","[-3, 0, 0, 0]"
1610883522,545564889,,909,40.0,"[2122, 126, 3790, 351]",41.865588660977195,0,-0.021434007249167265,"[-0.12812666396104486, -0.9705414222042311]",rh_l,0.28194010416666665,"[2.3101230908650905e-05, 0.0007118311477825046, 0.0010293752420693636, 0.0, 0.0019808325450867414, 0.0015246812254190445, 0.00012646944378502667, 0.002217326546087861, 0.0008645341731607914]",-0.41962652599431693,"[0.11659222410619441, 0.05091392812609275]",-1.244086343088794,1610883522,536044989,rh_l,198547,"[0.0, 0.001621001516468823, 0.040030770003795624, 0.0, 0.0018181566847488284, 0.048210401087999344, 0.003265956649556756, 0.02118510939180851, 0.007852575741708279]",0.15963020833333333,0.4223441190426438,"[0.07160547459051417, -0.10451606680587874]",-1.4775478182356216,1610883522,543009042,,1078,"[30, 0, -29, 0]","[119, -7, -125, -9]","[2077, 126, 3836, 351]","[-2, 0, 0, 0]"
1610883522,575124979,,910,40.0,"[2122, 126, 3790, 351]",34.00796218368158,0,0.7006440930726419,"[-0.28659608940710535, -0.8541352168010912]",rh_l,0.25536458333333334,"[1.5661852330595138e-06, 0.0005802715895697474, 0.0008942916756495833, 0.0, 0.0017204543109983206, 0.0014667324721813202, 0.0001053259547916241, 0.0019643877167254686, 0.0009459757711738348]",-0.06933679643994498,"[0.1283645581422453, 0.061400090323708516]",-1.275865660627007,1610883522,573975118,rh_l,198548,"[0.0003523916529957205, 0.10642058402299881, 0.1055753156542778, 0.0, 0.1692649871110916, 0.15441833436489105, 0.0027601709589362144, 0.1411661058664322, 0.09380266815423965]",0.20459375,0.8378383721872614,"[-0.3103689427486756, -0.2764599666301099]",-1.330540070422055,1610883522,569521903,,1079,"[24, 0, -24, 0]","[98, -7, -104, -9]","[2082, 126, 3829, 351]","[0, 0, -1, 0]"
1610883522,597517967,,911,40.0,"[2122, 126, 3790, 351]",44.954063149771706,0,0.7006440930726419,"[-0.28659608940710535, -0.8541352168010912]",rh_l,0.25536458333333334,"[1.5661852330595138e-06, 0.0005802715895697474, 0.0008942916756495833, 0.0, 0.0017204543109983206, 0.0014667324721813202, 0.0001053259547916241, 0.0019643877167254686, 0.0009459757711738348]",-0.06933679643994498,"[0.1283645581422453, 0.061400090323708516]",-1.275865660627007,1610883522,573975118,rh_l,198548,"[0.0003523916529957205, 0.10642058402299881, 0.1055753156542778, 0.0, 0.1692649871110916, 0.15441833436489105, 0.0027601709589362144, 0.1411661058664322, 0.09380266815423965]",0.20459375,0.8378383721872614,"[-0.3103689427486756, -0.2764599666301099]",-1.330540070422055,1610883522,596054077,,1080,"[18, 0, -18, 0]","[75, -7, -82, -9]","[2088, 126, 3824, 351]","[0, 0, 0, 0]"
1610883522,623606920,,912,40.0,"[2122, 126, 3790, 351]",38.63688200668773,0,-5.122407566173961,"[0.0711959374269783, -0.6487109318213461]",rh_l,0.40684895833333334,"[0.0003629634156823158, 0.0012521127937361598, 0.0013551648007705808, 0.00034142835647799075, 0.003157820785418153, 0.0017361469799652696, 0.00019342386804055423, 0.0027024983428418636, 0.001116183353587985]",0.8300950097325878,"[0.07850970638527446, 0.024137032397289714]",-1.4476238912229151,1610883522,603548004,rh_l,198549,"[0.07991459220647812, 0.23880146443843842, 0.12405368685722351, 0.05332860350608826, 0.26946213841438293, 0.1759171485900879, 0.008907447569072247, 0.1781262308359146, 0.1302955448627472]",0.2792473958333333,5.807963098221399,"[1.685829775185649, 1.2600413069735164]",-2.335828884428102,1610883522,621776103,,1081,"[14, 0, -14, 0]","[62, -7, -64, -9]","[2092, 126, 3819, 351]","[0, 0, 0, 0]"
1610883522,649189949,,913,40.0,"[2122, 126, 3790, 351]",39.767744382288804,0,-5.122407566173961,"[0.0711959374269783, -0.6487109318213461]",rh_l,0.40684895833333334,"[0.0003629634156823158, 0.0012521127937361598, 0.0013551648007705808, 0.00034142835647799075, 0.003157820785418153, 0.0017361469799652696, 0.00019342386804055423, 0.0027024983428418636, 0.001116183353587985]",0.8300950097325878,"[0.07850970638527446, 0.024137032397289714]",-1.4476238912229151,1610883522,603548004,rh_l,198549,"[0.07991459220647812, 0.23880146443843842, 0.12405368685722351, 0.05332860350608826, 0.26946213841438293, 0.1759171485900879, 0.008907447569072247, 0.1781262308359146, 0.1302955448627472]",0.2792473958333333,5.807963098221399,"[1.685829775185649, 1.2600413069735164]",-2.335828884428102,1610883522,644870042,,1082,"[10, 0, -11, 0]","[55, -7, -57, -9]","[2094, 126, 3817, 351]","[0, 0, -1, 0]"
1610883522,671367883,,914,40.0,"[2122, 126, 3790, 351]",45.465231482987,0,0.6060039273573391,"[0.09731642044630759, -0.2753170186309613]",rh_l,0.3784635416666667,"[0.0003872392699122429, 0.0009321611141785979, 0.0012083977926522493, 0.00031441167811863124, 0.0029612646903842688, 0.0016454464057460427, 0.00016249170585069805, 0.002693446818739176, 0.0010645006550475955]",0.8788198515466059,"[0.07861160806440515, 0.03479986434813378]",-1.4372262464401868,1610883522,650388322,rh_l,198550,"[0.08359513431787491, 0.21897172927856445, 0.1223677322268486, 0.07098734378814697, 0.3090866506099701, 0.1673600822687149, 0.014565368182957172, 0.19372941553592682, 0.13799427449703217]",0.3207890625,-0.22198066167544614,"[-0.0021755121118239144, -0.2276421767854792]",-1.634211764573498,1610883522,670066118,,1083,"[8, 0, -8, 0]","[44, -7, -46, -9]","[2097, 126, 3814, 351]","[0, 0, 0, 0]"
