time,orientation of object,interval of finger
1608559587.080,-0.02619784460927364,25.2
1608559587.193,0.03273182836378586,25.2
1608559587.241,-0.07348225016846945,25.2
1608559587.301,-0.039418725430020916,25.2
1608559587.333,-0.01733957235659121,25.2
1608559587.359,-0.03710187491422331,25.2
1608559587.393,-0.0036862811914872215,25.2
1608559587.491,0.054299390248149025,25.2
1608559587.555,-0.04330829094106637,25.2
1608559587.592,-0.02143186826068034,25.2
1608559587.666,0.01347187546660064,25.2
1608559587.704,-0.045099493745834635,25.2
1608559587.753,-0.05906419674803896,25.2
1608559587.848,-0.03131762689869897,25.2
1608559587.884,-0.05615247819679392,25.2
1608559587.953,-0.06821374301564907,25.2
1608559588.005,-0.1060941834939991,25.2
1608559588.031,-0.054774082873157985,25.2
1608559588.064,-0.0397620491599161,25.2
1608559588.088,-0.11280075732529188,25.2
1608559588.133,-0.04933337244993994,25.2
1608559588.148,-0.12286851092943786,25.2
1608559588.217,-0.08728335625891465,25.2
1608559588.232,-0.08577193579014886,25.2
1608559588.266,-0.10900198626410641,25.2
1608559588.300,-0.06361040745358824,25.2
1608559588.342,-0.05972057448825434,25.2
1608559588.394,-0.125415803408851,25.2
1608559588.458,-0.17003274043380084,25.2
1608559588.515,-0.10505799171557441,25.2
1608559588.576,-0.09423997293390968,25.2
1608559588.605,-0.1078798863824564,25.2
1608559588.627,-0.1477220407796264,25.2
1608559588.648,-0.05339019987127045,25.2
1608559588.670,-0.07369558873375433,25.2
1608559588.736,-0.10901728501877252,25.2
1608559588.763,-0.15920765022050873,25.2
1608559588.796,-0.06195144027005315,25.2
1608559588.831,-0.1284465289582787,25.2
1608559588.847,-0.12979246311622875,25.2
1608559588.872,-0.09766265072205138,25.2
1608559588.909,-0.19036037351209095,25.2
1608559588.961,-0.030865382100399696,25.2
1608559588.983,-0.11365282786500111,25.2
1608559589.012,-0.21387439885039328,25.2
1608559589.050,-0.06964278453220127,25.2
1608559589.106,-0.16837579328861274,25.2
1608559589.133,-0.14557311237430545,25.2
1608559589.160,-0.04435835299309056,25.2
1608559589.179,-0.144484176244006,25.2
1608559589.203,-0.1386294014216663,25.2
1608559589.265,-0.10954215855097085,25.2
1608559589.306,-0.1563455837609326,25.2
1608559589.330,-0.2417539614610826,25.2
1608559589.366,-0.12303735052147435,25.2
1608559589.392,-0.11810583961286554,25.2
1608559589.423,-0.2003951351859204,25.2
1608559589.464,-0.18909165204787667,25.2
1608559589.491,-0.1661874771817055,25.2
1608559589.516,-0.14258100529257414,25.2
1608559589.539,-0.11014887407407015,25.2
1608559589.566,-0.11512291293385113,25.2
1608559589.646,-0.18547519635772197,25.2
1608559589.670,-0.14016903300725997,25.2
1608559589.688,-0.2134023357727313,25.2
1608559589.714,-0.15436134511820757,25.2
1608559589.757,-0.20424925884066905,25.2
1608559589.821,-0.12058444612942311,25.2
1608559589.862,-0.16396316617329687,25.2
1608559589.903,-0.19023489458855727,25.2
1608559589.933,-0.13912816929881291,25.2
1608559589.978,-0.16954984715414614,25.2
1608559590.001,-0.18056752806746224,25.2
1608559590.026,-0.20432403518390221,25.2
1608559590.078,-0.16106052785566782,25.2
1608559590.109,-0.14708090302428503,25.2
1608559590.177,-0.1802800982000811,25.2
1608559590.211,-0.19937861015686476,25.2
1608559590.236,-0.2069738437054919,25.2
1608559590.253,-0.1371919179722753,25.2
1608559590.298,-0.11042347055896812,25.2
1608559590.353,-0.16839414294842547,25.2
1608559590.389,-0.18015750444821796,25.2
1608559590.410,-0.21941444506202779,25.2
1608559590.441,-0.21564068847071363,25.2
1608559590.502,-0.20231125375302716,25.2
1608559590.542,-0.15986220899623513,25.2
1608559590.577,-0.1985864746737821,25.2
1608559590.607,-0.20928935960012288,25.2
1608559590.645,-0.21173664462143438,25.2
1608559590.714,-0.20959340382202796,25.2
1608559590.750,-0.2068767281475256,25.2
1608559590.783,-0.1741579993944897,25.2
1608559590.812,-0.23446348132508874,25.2
1608559590.855,-0.19223773902810865,25.2
1608559590.917,-0.22068138422553688,25.2
1608559590.942,-0.23245102997341185,25.2
1608559590.970,-0.21381448721529084,25.2
