time,orientation of object,interval of finger
1608558663.092,-0.015775012284693076,23.2
1608558663.153,0.009337605291860306,23.2
1608558663.187,-0.057261694929614165,23.2
1608558663.217,-0.008638674875121485,23.2
1608558663.248,-0.05222299832979916,23.2
1608558663.304,0.0033182589871593553,23.2
1608558663.333,0.022358600080883098,23.2
1608558663.356,-0.004980517047049318,23.2
1608558663.426,-0.029959420105293573,23.2
1608558663.483,0.012973369734772453,23.2
1608558663.547,-0.06981835819367892,23.2
1608558663.596,-0.02223406642635626,23.2
1608558663.654,-0.09334792521115078,23.2
1608558663.724,-0.0554037298161797,23.2
1608558663.759,-0.006951651498140133,23.2
1608558663.794,-0.02076663905363262,23.2
1608558663.839,-0.022408660929872894,23.2
1608558663.876,-0.05953698747604738,23.2
1608558663.926,0.0045104632094466425,23.2
1608558663.959,0.039643829229997596,23.2
1608558663.983,0.020323229193453817,23.2
1608558664.039,-0.02180028984409302,23.2
1608558664.081,-0.06581891145064922,23.2
1608558664.118,-0.06812827677915799,23.2
1608558664.167,0.015350597685849107,23.2
1608558664.192,0.027252471897879625,23.2
1608558664.278,0.040254311498078524,23.2
1608558664.313,-0.02392611144997226,23.2
1608558664.352,-0.01393737605255641,23.2
1608558664.402,-0.05782778850242563,23.2
1608558664.439,-0.0002982780939503161,23.2
1608558664.472,-0.017663827196312154,23.2
1608558664.502,-0.049160511441221764,23.2
1608558664.520,-0.029481230781140125,23.2
1608558664.583,0.04052892108861812,23.2
1608558664.619,-0.0032225497727686476,23.2
1608558664.654,-0.025695459474220934,23.2
1608558664.688,-0.009206601663938382,23.2
1608558664.714,0.016014933787862486,23.2
1608558664.782,-0.01414568722365615,23.2
1608558664.823,-0.03974837650907649,23.2
1608558664.856,-0.09024620317685163,23.2
1608558664.893,-0.03584682968457197,23.2
1608558664.917,-0.029712368350155213,23.2
1608558664.982,-0.04871897714016926,23.2
1608558665.018,0.018182057988631956,23.2
1608558665.045,0.026034021673622225,23.2
1608558665.079,0.018553735273122762,23.2
1608558665.102,0.025469584104193102,23.2
1608558665.153,-0.05966754187509918,23.2
1608558665.186,-0.05891064770901606,23.2
1608558665.223,-0.022106295257308714,23.2
1608558665.238,-0.07565146910513165,23.2
1608558665.294,-0.0038331019151533804,23.2
1608558665.311,-0.0032214361246120198,23.2
1608558665.353,-0.038286470887836634,23.2
1608558665.381,-0.010268483912886367,23.2
1608558665.411,-0.024870244520860958,23.2
1608558665.464,-0.018571626851770044,23.2
1608558665.491,-0.008517364655188766,23.2
1608558665.522,-0.023865908027033755,23.2
1608558665.553,-0.02583028005563978,23.2
1608558665.576,-0.042562921177895764,23.2
1608558665.624,-0.003797173954704094,23.2
1608558665.659,-0.01272007373965887,23.2
1608558665.694,0.02423887360363646,23.2
1608558665.730,-0.008450937295175777,23.2
1608558665.761,-0.008854813215004725,23.2
1608558665.819,-0.009413008988460259,23.2
1608558665.877,0.03179864694001261,23.2
1608558665.918,-0.011974759410943593,23.2
1608558665.943,-0.02811908452986435,23.2
1608558665.980,0.04521660698048461,23.2
1608558666.006,0.03454909687350248,23.2
1608558666.034,-0.01702006791929432,23.2
1608558666.059,-0.018420746540498713,23.2
1608558666.111,0.021427977129169384,23.2
1608558666.132,-0.013618922365914436,23.2
1608558666.158,0.035526005385074264,23.2
1608558666.222,-0.006257416572320341,23.2
1608558666.243,-0.059062895286656716,23.2
1608558666.259,-0.004023840094053921,23.2
1608558666.307,-0.0485892345111497,23.2
1608558666.346,0.03734978227828976,23.2
1608558666.387,-0.040711605627013744,23.2
1608558666.427,0.007810958229177992,23.2
1608558666.460,-0.01180243062068116,23.2
1608558666.493,-5.908152211802308e-05,23.2
1608558666.523,0.004632795099544872,23.2
1608558666.590,-0.007405297311461191,23.2
1608558666.608,-0.002611530625052396,23.2
1608558666.648,-0.03939582062449412,23.2
1608558666.687,0.012427049628140209,23.2
1608558666.711,0.012425796456421967,23.2
1608558666.766,-0.022724155884842362,23.2
1608558666.796,-0.024138442652016426,23.2
1608558666.833,-0.022484280521942894,23.2
1608558666.891,-0.02041396746778806,23.2
1608558666.948,-0.010920190721473077,23.2
1608558666.981,0.00591550971088374,23.2
1608558667.025,-0.03307916344740935,23.2
1608558667.080,0.020730656811826922,23.2
1608558667.121,0.02127233535174725,23.2
1608558667.148,0.013983904339205457,23.2
1608558667.171,-0.013311085269043213,23.2
1608558667.207,0.04342515346100657,23.2
1608558667.249,-0.09141921232078556,23.2
1608558667.309,-0.019417672624319753,23.2
1608558667.324,0.027974563675169425,23.2
1608558667.372,-0.05169726076537817,23.2
1608558667.411,-0.009440458751505709,23.2
1608558667.433,0.007557822196068499,23.2
1608558667.462,0.008204025713015251,23.2
1608558667.502,-0.06486496373180334,23.2
1608558667.545,0.015292177463331278,23.2
1608558667.563,-0.01496415054003163,23.2
1608558667.611,-0.010893442539607778,23.2
1608558667.635,-0.07282128921175413,23.2
1608558667.682,-0.018024072789152683,23.2
1608558667.702,-0.015649352882732108,23.2
1608558667.751,-0.026778939174985424,23.2
1608558667.771,-0.06896886912257666,23.2
1608558667.829,-0.029108575982674422,23.2
1608558667.865,-0.03568207415631037,23.2
1608558667.893,-0.057611982515358866,23.2
1608558667.917,-0.04639824490325575,23.2
1608558667.946,-0.03263948404597759,23.2
1608558667.999,0.04003090054012365,23.2
1608558668.048,-0.051267908786526074,23.2
1608558668.068,-0.05557449168986234,23.2
1608558668.117,0.006418404313990232,23.2
1608558668.135,-0.1047432048085559,23.2
1608558668.170,-0.037177217789561644,23.2
1608558668.218,-0.001825983409714238,23.2
1608558668.241,0.0014205513166186687,23.2
1608558668.273,0.027437852857012127,23.2
1608558668.308,-0.028112079900478388,23.2
1608558668.342,0.0017072209176693448,23.2
1608558668.393,-0.05436195751236294,23.2
1608558668.433,-0.01273804716832401,23.2
1608558668.482,-0.018844494704055036,23.2
1608558668.532,-0.008719139947381572,23.2
1608558668.571,-0.055190443676116856,23.2
1608558668.605,0.003602683256760844,23.2
1608558668.639,0.004957761087026798,23.2
1608558668.680,-0.010927547346966545,23.2
1608558668.735,0.04633844825899892,23.2
1608558668.758,-0.056579659860286895,23.2
1608558668.800,-0.1262098503183692,23.2
1608558668.830,-0.06428732863589619,23.2
1608558668.859,0.018909489712059163,23.2
1608558668.893,-0.07868546322612104,23.2
1608558668.918,-0.04342856935828594,23.2
1608558668.982,-0.03651103619208426,23.2
1608558669.018,-0.07165004179990174,23.2
1608558669.058,0.024086155529507835,23.2
1608558669.099,-0.04322939446905763,23.2
1608558669.133,-0.005263975214785931,23.2
1608558669.160,-0.07032324647833306,23.2
1608558669.205,-0.03372159746735062,23.2
1608558669.259,0.010629469380999743,23.2
1608558669.311,-0.05204857640427296,23.2
1608558669.358,-0.050275103098008984,23.2
1608558669.388,-0.026752485658435597,23.2
1608558669.423,-0.10358416718986116,23.2
1608558669.450,-0.01686942603231158,23.2
1608558669.503,-0.04280475136820259,23.2
1608558669.536,-0.06519875210771019,23.2
1608558669.567,0.0031142118032988085,23.2
1608558669.613,-0.04928509242589812,23.2
1608558669.657,-0.05226817505449191,23.2
1608558669.702,-0.036697445573812645,23.2
1608558669.723,-0.02888587703421228,23.2
1608558669.743,-0.0889813284242036,23.2
1608558669.795,-0.06342942190347539,23.2
1608558669.835,-0.02276510951913552,23.2
1608558669.857,-0.08792304013844623,23.2
1608558669.878,-0.03971750357491612,23.2
1608558669.916,-0.09192918007645545,23.2
1608558669.948,-0.006370030740804458,23.2
1608558670.011,0.025485636316598167,23.2
1608558670.038,-0.01108190214196617,23.2
1608558670.070,-0.013081581953351372,23.2
1608558670.098,0.022684642342272188,23.2
1608558670.124,-0.06170263439615945,23.2
1608558670.152,0.008897381734550923,23.2
1608558670.199,-0.018971001373599278,23.2
1608558670.251,-0.03408130180204253,23.2
1608558670.280,-0.045557693071252424,23.2
1608558670.304,-0.037660154191450176,23.2
1608558670.368,-0.00496402815356755,23.2
1608558670.400,-0.02489840360173962,23.2
1608558670.417,-0.08304397488829678,23.2
1608558670.479,-0.06981596846610415,23.2
1608558670.514,-0.033023747277125155,23.2
1608558670.551,-0.04383031732956175,23.2
1608558670.596,-0.07929540328877616,23.2
1608558670.617,-0.04842936075992074,23.2
1608558670.658,-0.009213513820782001,23.2
1608558670.688,-0.06612983700655449,23.2
1608558670.747,-0.08870425185222651,23.2
1608558670.764,-0.1146522480331944,23.2
1608558670.786,-0.06217393322055434,23.2
1608558670.832,-0.02264959999885876,23.2
1608558670.865,-0.10859582735001921,23.2
1608558670.916,-0.11991487559365124,23.2
1608558670.947,-0.0514905485045527,23.2
1608558670.983,-0.04928697199891346,23.2
1608558671.018,-0.06010484308304499,23.2
1608558671.049,0.011469610156525574,23.2
1608558671.117,-0.0062542071432283896,23.2
1608558671.144,-0.02371444337397045,23.2
1608558671.179,-0.05979879494141881,23.2
1608558671.201,-0.02691049589914835,23.2
1608558671.218,-0.04907595912848611,23.2
1608558671.283,-0.04336062029854129,23.2
1608558671.317,-0.024907493580577325,23.2
1608558671.347,-0.02492340545986166,23.2
1608558671.388,-0.09739619682752347,23.2
1608558671.419,0.010848875556497594,23.2
1608558671.448,-0.025045076760473177,23.2
1608558671.494,-0.0849529437375053,23.2
1608558671.524,-0.05245602857633748,23.2
1608558671.546,-0.060858140086034185,23.2
1608558671.583,-0.1333756832273699,23.2
1608558671.628,0.004747154292453736,23.2
1608558671.660,-0.020726509317074482,23.2
1608558671.700,-0.08649215808334774,23.2
1608558671.725,-0.02773033236330158,23.2
1608558671.758,-0.03799425547126646,23.2
1608558671.812,-0.031195227062034744,23.2
1608558671.843,-0.06379946130265278,23.2
1608558671.859,-0.03313215812213785,23.2
1608558671.890,-0.11248095525106253,23.2
1608558671.931,-0.0927999321864616,23.2
1608558671.994,-0.05365307795550893,23.2
1608558672.031,-0.0439273141914312,23.2
1608558672.065,-0.07357130130465833,23.2
1608558672.101,-0.03714340358166594,23.2
1608558672.149,0.0010054488695913663,23.2
1608558672.170,-0.021058121558446635,23.2
1608558672.223,-0.025665054453158687,23.2
1608558672.262,-0.08552522553043716,23.2
1608558672.296,-0.030046909450748307,23.2
1608558672.360,-0.027472160335084338,23.2
1608558672.393,-0.053588485787854696,23.2
1608558672.426,-0.049998442420959695,23.2
1608558672.454,-0.03592347179088416,23.2
1608558672.471,-0.00605939275861617,23.2
1608558672.529,-0.03967084701191146,23.2
1608558672.550,0.027355187328387664,23.2
1608558672.596,0.0013222776578311443,23.2
1608558672.624,-0.029629512371694117,23.2
1608558672.687,-0.0700572815065171,23.2
1608558672.731,0.05303193938469415,23.2
1608558672.777,0.03031108663721237,23.2
1608558672.810,-0.005807349483894363,23.2
1608558672.840,-0.05741951635984207,23.2
1608558672.900,-0.03746660680415562,23.2
1608558672.947,-0.09352411375385142,23.2
1608558672.988,-0.040467246326394965,23.2
1608558673.036,-0.061425742565703025,23.2
1608558673.076,0.011501272379793882,23.2
1608558673.124,0.036848875972890396,23.2
1608558673.154,-0.07972504463960077,23.2
1608558673.176,-0.08180288374170211,23.2
1608558673.207,-0.07615390041356637,23.2
1608558673.266,-0.05229917621634215,23.2
1608558673.299,-0.06668752284953754,23.2
1608558673.324,-0.12343684913774883,23.2
1608558673.350,-0.1207352601526814,23.2
1608558673.390,-0.12612418665008518,23.2
1608558673.452,-0.11496647202920367,23.2
1608558673.483,-0.023605587978649322,23.2
1608558673.512,-0.010268072126540226,23.2
1608558673.583,-0.0817442100717012,23.2
1608558673.637,-0.06614656206895239,23.2
1608558673.664,-0.03921129427643915,23.2
1608558673.696,-0.06784838207799057,23.2
1608558673.720,-0.024606725301727722,23.2
1608558673.757,-0.05079306911572473,23.2
1608558673.805,-0.07499800462906822,23.2
1608558673.824,-0.1521865031038483,23.2
1608558673.846,-0.09196124271391869,23.2
1608558673.875,0.01335606172365907,23.2
1608558673.922,-0.04693025756304797,23.2
1608558673.973,0.05469713948266759,23.2
1608558674.005,-0.04052706964120462,23.2
1608558674.056,0.003257950373928706,23.2
1608558674.086,-0.03916958076872591,23.2
1608558674.117,-0.08836806586794213,23.2
1608558674.173,-0.05063053408682978,23.2
1608558674.197,-0.06247396419909128,23.2
1608558674.215,-0.025622839500042977,23.2
1608558674.257,-0.025772459176821725,23.2
1608558674.299,-0.017737046970364777,23.2
1608558674.320,-0.06203904060193962,23.2
