time,orientation of object,interval of finger
1608559440.355,0.023188870323554538,24.8
1608559440.413,-0.04439842506460953,24.8
1608559440.466,-0.00803953366316875,24.8
1608559440.515,0.0012675505848005256,24.8
1608559440.557,0.01819452625337302,24.8
1608559440.592,-0.001964203290888125,24.8
1608559440.639,-0.007428864406402561,24.8
1608559440.658,-0.014976881973567774,24.8
1608559440.745,-0.011260821774961719,24.8
1608559440.783,0.02252336770658502,24.8
1608559440.812,-0.03706857465809824,24.8
1608559440.836,-0.0326084368190843,24.8
1608559440.899,0.035230753669599275,24.8
1608559440.934,-0.06501078022888183,24.8
1608559440.955,-0.055608015056346674,24.8
1608559440.978,-0.08667321861171164,24.8
1608559441.000,-0.04682551209965857,24.8
1608559441.064,-0.10561049901015544,24.8
1608559441.107,0.014261129069939139,24.8
1608559441.144,-0.05598357432983328,24.8
1608559441.182,-0.020267868754329045,24.8
1608559441.202,-0.08000751449850878,24.8
1608559441.246,-0.048183082879544474,24.8
1608559441.272,-0.04899144400029374,24.8
1608559441.322,-0.08369993781474985,24.8
1608559441.382,-0.06494419868556663,24.8
1608559441.416,-0.0625314173988438,24.8
1608559441.452,-0.07841145364629597,24.8
1608559441.475,-0.0516800631549178,24.8
1608559441.515,-0.07018275343151212,24.8
1608559441.550,-0.11443118237783162,24.8
1608559441.581,-0.034711309983427294,24.8
1608559441.600,-0.12022886139870534,24.8
1608559441.658,-0.061342521038919046,24.8
1608559441.684,-0.06575864036385447,24.8
1608559441.702,-0.03622720138084687,24.8
1608559441.742,-0.057014484632032535,24.8
1608559441.778,-0.057149830186968446,24.8
1608559441.816,-0.09755050401551088,24.8
1608559441.865,-0.05967006477310242,24.8
1608559441.904,-0.1271628524789399,24.8
1608559441.943,-0.08807627392850755,24.8
1608559441.974,-0.09316103170884497,24.8
1608559442.007,-0.0833883410664152,24.8
1608559442.029,-0.04948761364197881,24.8
1608559442.076,-0.05303115410329878,24.8
1608559442.109,-0.04224373483963575,24.8
1608559442.152,-0.09670586594851785,24.8
1608559442.189,-0.14797773499918815,24.8
1608559442.242,-0.050853600945790986,24.8
1608559442.284,-0.06673771736404575,24.8
1608559442.320,-0.059028051744662094,24.8
1608559442.353,-0.10953605810423109,24.8
1608559442.387,-0.10364359820206344,24.8
1608559442.453,-0.12018934447929025,24.8
1608559442.476,-0.1457670507200606,24.8
1608559442.504,-0.1045856832369004,24.8
1608559442.543,-0.12369774991427282,24.8
1608559442.579,-0.11745073857019282,24.8
1608559442.599,-0.11041366535358302,24.8
1608559442.638,-0.10344816707504469,24.8
1608559442.666,-0.10742253803376933,24.8
1608559442.717,-0.16724707593024593,24.8
1608559442.758,-0.18881356057606974,24.8
1608559442.803,-0.12125657504533643,24.8
1608559442.830,-0.1086532656242058,24.8
1608559442.868,-0.12686335335978577,24.8
1608559442.934,-0.14070399212711351,24.8
1608559442.987,-0.12907412437879642,24.8
1608559443.003,-0.06470217308966106,24.8
1608559443.052,-0.08737338806330575,24.8
1608559443.104,-0.02584925845941308,24.8
1608559443.141,-0.06823400053191396,24.8
1608559443.178,-0.12952651945855947,24.8
1608559443.204,-0.16146898315694092,24.8
1608559443.243,-0.06939518220002729,24.8
1608559443.292,-0.1677354200656798,24.8
1608559443.329,-0.10744946742455337,24.8
1608559443.360,-0.1175285967921953,24.8
1608559443.382,-0.11773021796189834,24.8
1608559443.400,-0.16834461101579415,24.8
1608559443.489,-0.1897325939318234,24.8
1608559443.537,-0.11726157561771951,24.8
1608559443.580,-0.06513098215868937,24.8
1608559443.687,-0.12179543725768074,24.8
1608559443.732,-0.1840379845564183,24.8
1608559443.756,-0.16037621530893703,24.8
1608559443.816,-0.11444408218375268,24.8
1608559443.863,-0.19914816913977862,24.8
1608559443.912,-0.2164828830204543,24.8
1608559443.958,-0.17217437733652965,24.8
1608559444.026,-0.2036242449439065,24.8
1608559444.057,-0.1374513118865519,24.8
1608559444.096,-0.14207830155587994,24.8
1608559444.121,-0.2477664129489544,24.8
1608559444.155,-0.1777047543320268,24.8
1608559444.224,-0.12488764453991984,24.8
1608559444.275,-0.1834721129924317,24.8
1608559444.310,-0.1673251075958136,24.8
1608559444.361,-0.15010370161794456,24.8
1608559444.414,-0.18923771010630136,24.8
1608559444.444,-0.17761250433082332,24.8
1608559444.479,-0.17911656391536093,24.8
1608559444.523,-0.22840992390586368,24.8
1608559444.550,-0.21802642111288353,24.8
1608559444.588,-0.15491706643027037,24.8
1608559444.614,-0.199886134092615,24.8
1608559444.647,-0.19778556529122623,24.8
1608559444.674,-0.20560346871347984,24.8
1608559444.726,-0.1644043256284011,24.8
1608559444.776,-0.22429453478366793,24.8
1608559444.813,-0.16121404808925704,24.8
1608559444.847,-0.18829284233010884,24.8
1608559444.891,-0.22881137859886783,24.8
1608559444.949,-0.1754850186412794,24.8
1608559444.990,-0.17110071480359143,24.8
1608559445.030,-0.19494331953075397,24.8
1608559445.055,-0.20500688908649817,24.8
1608559445.113,-0.17941566357350008,24.8
1608559445.128,-0.21397376605829044,24.8
1608559445.149,-0.19653385249172242,24.8
1608559445.188,-0.23388574001942347,24.8
1608559445.225,-0.23621142336661638,24.8
1608559445.289,-0.23123666924002517,24.8
1608559445.323,-0.19413466953004133,24.8
1608559445.347,-0.19713477134358295,24.8
1608559445.399,-0.21063145635625477,24.8
1608559445.450,-0.19658746734036858,24.8
1608559445.486,-0.21936310958674807,24.8
1608559445.519,-0.21713083200536906,24.8
1608559445.552,-0.21110362724197498,24.8
1608559445.579,-0.23713650960991328,24.8
1608559445.651,-0.1830074687850102,24.8
1608559445.670,-0.15774292461011258,24.8
1608559445.702,-0.20819696218676634,24.8
1608559445.719,-0.18146952265305083,24.8
1608559445.765,-0.2104726804355312,24.8
1608559445.816,-0.20307283475948293,24.8
1608559445.848,-0.2402091453548219,24.8
1608559445.876,-0.187869874482065,24.8
1608559445.906,-0.24990215113250122,24.8
1608559445.930,-0.23143721433923703,24.8
1608559445.950,-0.20091775573385287,24.8
1608559446.017,-0.20219500355408487,24.8
1608559446.050,-0.19658740440299274,24.8
1608559446.083,-0.19087889956842252,24.8
1608559446.108,-0.20186924165174333,24.8
1608559446.126,-0.23529907609198053,24.8
