time,orientation of object,interval of finger
1608559749.301,0.04135261822534485,25.4
1608559749.357,-0.07725140480133251,25.4
1608559749.418,-0.03320694399261614,25.4
1608559749.489,-0.010170368181355565,25.4
1608559749.525,-0.011554143893906743,25.4
1608559749.558,0.09646067056383091,25.4
1608559749.587,0.06885070032208832,25.4
1608559749.617,0.025980934836207937,25.4
1608559749.679,-0.05790588175893644,25.4
1608559749.728,-0.027205320623224533,25.4
1608559749.787,-0.057454599074517054,25.4
1608559749.855,-0.10119988374437751,25.4
1608559749.887,-0.19286501603862266,25.4
1608559749.915,-0.1497667177087766,25.4
1608559749.964,-0.15681020506907412,25.4
1608559749.992,-0.15395189123145273,25.4
1608559750.054,-0.07693905586048767,25.4
1608559750.083,-0.0844153231468339,25.4
1608559750.108,-0.01564706201676288,25.4
1608559750.125,-0.10324969575502095,25.4
1608559750.155,-0.1651238454636953,25.4
1608559750.217,-0.06470085062052587,25.4
1608559750.251,-0.18281133555439003,25.4
1608559750.279,0.09779638547717945,25.4
1608559750.315,-0.06776230897893637,25.4
1608559750.330,-0.09125311741875879,25.4
1608559750.403,-0.0035753932571405975,25.4
1608559750.429,-0.15376126904961118,25.4
1608559750.475,-0.1683906240921074,25.4
1608559750.498,-0.12418802440958196,25.4
1608559750.540,-0.054946014749262986,25.4
1608559750.564,-0.11571456276572153,25.4
1608559750.634,-0.12448141018451686,25.4
1608559750.682,-0.18975750085671222,25.4
1608559750.699,-0.12029448584322451,25.4
1608559750.760,-0.16550656882939271,25.4
1608559750.815,-0.1169110840314829,25.4
1608559750.844,-0.15119612776034771,25.4
1608559750.863,-0.10651346556478665,25.4
1608559750.911,-0.13398310167149474,25.4
1608559750.952,-0.15754187509716785,25.4
1608559750.990,-0.18771394267108768,25.4
1608559751.020,-0.16765945246037464,25.4
1608559751.048,-0.22572830690194656,25.4
1608559751.095,-0.261084989247657,25.4
1608559751.149,-0.22228053996261515,25.4
1608559751.167,-0.2570644373869537,25.4
1608559751.200,-0.3888669415202735,25.4
1608559751.238,-0.5416634323240479,25.4
1608559751.258,-0.4191600518320019,25.4
1608559751.320,-0.33786864639212055,25.4
1608559751.347,-0.4604310836112951,25.4
1608559751.371,-0.5447815114144793,25.4
1608559751.392,-0.3892028034843972,25.4
1608559751.432,-0.44435803068492685,25.4
1608559751.490,-0.60581536603281,25.4
1608559751.514,-0.6827680146224185,25.4
1608559751.560,-0.7366690738652746,25.4
1608559751.587,-0.9029698896863233,25.4
1608559751.633,-0.9576583453891919,25.4
1608559751.691,-1.033201179303692,25.4
1608559751.718,-1.1330390250553593,25.4
1608559751.760,-1.1985668347884257,25.4
1608559751.784,-1.024083134230183,25.4
1608559751.830,-1.0336712063796905,25.4
1608559751.869,-1.0160069867517068,25.4
1608559751.907,-1.047865554824104,25.4
1608559751.934,-1.0217357178571114,25.4
1608559751.975,-1.1169913868472117,25.4
1608559752.033,-1.0038394126544568,25.4
1608559752.070,-1.0027091133100738,25.4
1608559752.113,-1.0627317096283724,25.4
